#{"t_start": 1772320774.3450243, "env_id": "None"}
r,l,t
8115.647653,3892,50.320107
-1045.828765,639,55.033164
-3750.878135,6295,101.583675
4074.665421,2519,120.601913
2474.373385,1975,135.777426
677.236123,5171,175.383892
7710.407311,4366,207.932281
1201.503368,2729,228.516605
240.308652,494,232.229428
1745.660585,1957,246.849981
1641.940028,1790,260.189548
9890.389512,4978,297.198569
-1141.234221,571,301.496887
-88.663631,167,302.770221
250.455962,193,304.248446
178.348877,159,305.483144
3976.351103,2493,324.727633
-1118.163194,66,325.238119
4034.923535,3193,349.713703
5682.347146,3088,373.351483
-1741.777041,193,374.876955
1446.366608,798,380.821271
-337.147962,161,382.034154
4991.441622,1996,397.024852
2678.640187,2776,417.485185
-935.139784,277,419.588829
4881.886688,2641,439.227648
-814.966885,593,443.660411
4121.620897,1962,458.596555
994.65264,1132,467.028628
-242.978146,266,468.997273
-137.225864,54,469.415523
2953.210722,1253,478.752916
2083.010339,1199,487.771726
-806.863951,76,488.351468
184.138747,122,489.279195
1333.78652,602,493.79248
3488.713557,1529,505.205824
2132.812415,1319,514.968538
1784.285969,1582,526.691518
-390.75992,308,528.919837
623.095696,416,532.016701
609.130337,480,535.521974
663.719922,460,538.906713
2727.256009,1458,549.610459
6002.857799,2704,569.445568
2917.048961,4166,599.961668
5213.78475,3729,627.434438
3094.550915,1989,642.264022
5121.447157,2530,661.172169
4325.090453,3111,684.227826
31.104023,779,690.006156
3746.114832,4063,720.180451
2536.308895,1686,732.574495
6210.32008,3394,757.609745
4483.235103,2896,779.085725
6739.835483,3570,805.761723
8797.243112,4649,840.15144
2893.754892,4785,875.427762
1750.33972,1287,884.904178
-600.185745,149,886.017612
4.420354,90,886.687466
6926.996,4896,922.963104
1501.599148,6759,973.541483
-287.916686,121,974.452773
334.434109,213,976.090155
501.582305,298,978.353385
434.742698,313,980.666502
438.470222,300,982.883033
368.237042,285,985.00365
768.167869,430,988.166261
2393.461319,7932,1047.463922
2564.893345,1373,1058.057728
4404.209674,4268,1090.908719
939.085487,1242,1100.536781
571.315257,617,1105.272644
1930.527409,1007,1113.025325
5449.302056,3112,1136.992677
3645.066705,8161,1198.712915
-1336.41026,659,1203.751622
643.369978,8416,1266.596774
3309.6488,13825,1372.770669
225.665991,433,1375.97737
7242.626929,3366,1400.765911
2903.217879,2642,1420.266338
3293.527406,2260,1436.980873
-918.436137,217,1438.578472
10362.872776,4457,1471.624781
340.807215,1375,1481.790301
1051.619223,869,1488.191811
8875.099309,5257,1527.039226
2330.079884,1918,1541.163267
1043.986806,1021,1548.686512
1434.336469,992,1556.080674
6751.051685,3184,1580.177484
7542.339344,3898,1610.123464
7581.028986,5622,1651.846663
6895.779687,4506,1684.952096
3053.40943,2792,1705.456772
6917.488014,3417,1730.634361
3919.709339,3316,1755.163404
7865.852099,4094,1786.615583
-2305.296279,80,1787.242323
110.235871,90,1787.934957
89.145376,85,1788.59599
79.208854,86,1789.266189
4068.244822,10082,1864.795552
6217.276082,3033,1887.378809
1157.768469,1563,1898.902558
8760.503804,4134,1929.793911
3600.909105,4128,1960.820876
-331.2012,724,1966.28926
11992.635856,5038,2003.872916
8427.34595,6991,2056.001621
724.094542,1631,2068.158293
957.14268,5864,2111.893177
3873.285101,6607,2161.095563
6129.873088,3583,2187.862701
7361.962268,7697,2245.237288
-312.322202,940,2252.15223
1451.073373,1033,2259.822053
1488.497003,989,2267.151963
6085.038593,6621,2316.718481
-708.32914,485,2320.291407
5527.309412,8013,2380.63364
9373.100634,5971,2425.109602
6550.748078,5023,2462.928797
1976.615974,2086,2478.665801
6679.892577,3056,2501.999357
-1421.627319,152,2503.135496
5754.52607,2846,2524.493395
6166.86466,4451,2557.732597
-196.056293,1050,2565.451627
1890.531353,9137,2633.72439
3048.981339,2703,2654.087076
4666.592551,9096,2722.058783
6431.551099,6542,2771.882546
5554.750921,5300,2811.465533
5938.329777,5043,2849.077736
6892.008965,4018,2879.1032
7062.012622,6347,2926.586631
3170.05445,5865,2970.254828
2562.036393,8212,3032.223136
1713.621541,10055,3108.487982
10131.571537,5843,3153.315643
2446.62942,3307,3178.229118
3296.751015,2584,3197.641343
9223.823957,5647,3239.831289
-2025.791261,8922,3307.035408
-206.837488,339,3309.636219
2735.541472,1254,3319.121471
4508.685293,2197,3335.535663
3128.612994,8550,3399.688263
6227.462734,4033,3430.059757
7080.647394,4421,3463.721208
1569.046119,7836,3522.71706
5494.608586,8434,3586.579837
