#{"t_start": 1772320774.345099, "env_id": "None"}
r,l,t
-6138.695163,7765,78.85817
7907.94386,2649,98.469973
2116.4629,2903,120.369636
-3402.502972,9634,193.643216
2816.133773,4876,230.364096
831.163694,282,232.474459
2589.462751,1924,246.805989
1450.971895,1791,260.160197
9477.55573,4992,297.296172
-966.182683,561,301.51123
-99.426162,162,302.739761
229.798561,187,304.178098
189.246228,164,305.445291
4435.880114,2723,326.482319
4511.417261,3032,349.698318
5961.9884,3079,373.264513
-527.833343,925,380.263238
-294.287299,195,381.722677
5423.746676,2052,397.125846
4383.766325,2796,417.745331
-1238.829352,242,419.574493
7005.6925,2714,439.750128
-990.169911,504,443.513407
3732.29863,1769,457.00484
2247.982804,1432,467.708404
-632.266549,225,469.361204
2892.136764,1252,478.700405
673.365318,720,484.064998
-436.90346,88,484.713949
70.667288,91,485.410315
123.124079,101,486.186072
55.368561,76,486.775261
121.181599,114,487.640825
1.892413,64,488.138141
146.123688,116,489.008747
1056.094532,633,493.771002
1944.828877,1136,502.323868
537.256746,641,507.045906
-419.920885,58,507.470082
3259.964134,1305,517.105142
-82.18523,429,520.282284
693.87858,462,523.735886
493.085408,423,526.859235
805.615222,543,530.808387
1033.3957,746,536.325963
270.444504,383,539.127321
3160.333472,2108,554.627947
3763.389796,3548,580.596194
6774.862106,3396,605.453557
2500.36445,2027,620.481511
3631.10743,2407,638.304762
139.860716,596,642.744278
5053.54173,2468,661.193115
4420.630792,2837,682.215957
671.281026,1015,689.743921
3034.176615,3996,719.449219
2506.682756,1767,732.437349
5995.954705,3479,758.095969
4878.77002,2769,778.627306
2389.974182,1763,791.815283
-750.968384,262,793.796197
3405.67187,1646,806.032222
1987.843664,1298,815.609812
7607.398173,4040,845.494325
648.302252,1207,854.37723
1847.389363,5065,891.77856
-4661.676151,9279,960.998091
913.300743,93,961.688272
3201.167241,1531,973.058104
-616.731736,164,974.300373
2977.302025,1385,984.657261
38.188355,390,987.544695
190.695375,246,989.363344
3123.871692,1483,1000.371246
642.55769,661,1005.258328
-319.334929,98,1005.998869
667.921319,328,1008.434846
-46.222843,108,1009.237091
92.978291,101,1009.99225
236.584867,142,1011.055305
359.073643,217,1012.640221
2071.624753,916,1019.455636
1405.676737,1353,1029.555542
11517.030014,9972,1106.117062
3110.393494,2125,1122.471349
9681.464608,6465,1171.725081
-1104.990374,11130,1255.108328
9384.839062,15000,1370.130334
2864.493639,1866,1383.84336
8096.497704,4997,1420.782925
1986.974902,2168,1436.813514
-901.604373,226,1438.486058
10715.919401,4469,1471.616965
634.716853,1369,1481.737386
1120.339559,896,1488.344133
10837.500163,5249,1527.137692
1251.519009,1999,1541.854212
1393.880892,1299,1551.441371
7493.849854,3795,1580.088882
4608.796123,11971,1669.748472
12381.823824,15000,1781.387083
-2233.145512,79,1781.99494
81.246803,78,1782.595728
85.285596,84,1783.249438
85.536315,84,1783.869343
90.530301,85,1784.524878
97.450251,84,1785.183289
3970.149957,1893,1799.631368
3576.094953,1957,1814.386771
4069.480293,2633,1833.9214
1145.695757,1090,1842.102204
5020.737606,4020,1872.168354
7253.57976,3679,1899.370624
6650.577836,4055,1929.667431
3713.673081,4030,1959.968253
4405.420204,6422,2007.96333
10321.108703,5158,2046.501162
278.224571,6964,2098.291645
3040.342581,8029,2158.096438
1034.708525,965,2165.346717
6305.605834,5165,2203.776806
-1540.560488,45,2204.12882
184.893363,111,2204.982718
4089.309631,6991,2257.010354
1968.628721,819,2263.172475
4865.827317,2590,2282.340271
9444.20902,5023,2320.024044
4768.772962,6993,2372.695219
1808.142681,1279,2382.328321
6803.796667,6081,2427.623084
4884.831699,5256,2467.282922
10155.657504,6304,2515.056982
-1041.411616,868,2521.528379
1109.183587,752,2527.113878
4536.490881,3173,2550.764312
477.134177,863,2557.247436
2991.830291,1759,2570.278377
8425.876993,5952,2614.770018
3803.13154,3935,2644.259646
1053.520098,1689,2656.954265
