#{"t_start": 1772320774.3450422, "env_id": "None"}
r,l,t
8070.783473,3299,45.976991
1897.500438,2179,62.072745
-2003.812407,3788,89.982313
1839.472726,6297,137.639531
-1652.691997,5508,179.623516
1008.157731,200,181.108427
104.954543,155,182.271297
2669.938496,4211,213.902081
3063.274546,1774,227.187709
-507.220411,248,229.077301
773.989137,445,232.429716
2030.701786,1757,245.487639
1114.037325,2115,261.333361
10474.599675,4838,297.282395
-775.526425,558,301.443726
-110.734549,168,302.747405
186.441036,184,304.156426
166.217378,153,305.340247
2006.724189,1411,316.232078
3634.517679,2855,338.185686
3708.421107,2108,354.346174
5928.229539,2917,376.698584
-173.150736,826,382.859768
5160.934155,2254,399.70731
4548.470832,2613,419.008589
-1437.338779,240,420.830858
5254.134672,2470,439.178942
4331.12062,2746,459.930179
-1359.41128,198,461.406572
3910.009043,1751,474.489507
-972.568604,192,475.905476
1039.479039,502,479.650218
328.621317,331,482.143105
241.851178,244,483.950818
-35.092732,90,484.603249
66.859191,83,485.22927
130.556983,103,486.03641
23.693412,69,486.55773
221.006683,137,487.611268
-13.7086,65,488.124398
135.619523,101,488.871042
426.599507,221,490.552164
687.495611,433,493.807409
1737.080349,884,500.421552
2644.49351,1426,511.050291
-341.852538,374,513.778909
2366.69945,1077,521.739383
265.980154,487,525.371132
436.247589,446,528.616033
947.610055,590,532.979503
734.715399,558,537.039698
949.530616,640,541.75126
1833.691906,1021,549.240047
1097.532012,817,555.306453
1818.361922,1069,563.159397
1915.750114,1298,572.573023
4304.467218,4458,605.242138
5487.078115,3224,629.100852
3060.672528,2141,645.080463
-728.841583,339,647.620524
9847.689145,4262,679.290654
778.11438,1466,690.137078
3789.522979,1917,704.244381
2224.783293,1702,716.987347
3398.131863,2404,734.737455
6437.096014,3002,756.850455
5270.420023,2833,777.889091
6553.549292,3585,804.638526
-348.165998,1088,812.699364
3031.655697,2426,830.499054
8351.949126,3889,859.285396
-177.899464,6809,909.597532
1693.47955,8190,970.835524
-95.528582,94,971.533535
102.730462,99,972.266964
120.097477,96,972.988812
298.47451,170,974.286749
2758.576935,1236,983.539698
1299.344833,903,990.212707
2015.778342,1181,998.94745
1527.002973,1047,1006.756274
-154.790275,251,1008.619437
12.144016,108,1009.422466
434.265512,235,1011.184274
354.531087,231,1012.871217
264.968259,207,1014.392314
617.941485,331,1016.868577
436.5472,305,1019.132112
1072.281219,1583,1030.963516
-266.293021,185,1032.328341
435.110316,301,1034.606176
8849.480327,4453,1068.726702
4758.745475,7316,1125.140166
598.630539,974,1132.607164
4939.030144,2796,1154.109401
-1061.645724,220,1155.825077
11604.716269,15000,1268.252162
3478.61627,3141,1292.276101
-100.109829,670,1297.415104
572.94238,502,1301.32569
440.586323,391,1304.329558
3669.503999,6391,1353.394097
12681.445068,5717,1396.303538
3078.115632,3192,1419.917236
3052.0102,2218,1436.284678
-706.335376,297,1438.507296
9605.566195,4449,1471.48062
5698.159534,4395,1503.953809
5930.167099,7179,1557.001921
1965.596681,1298,1566.619585
9930.087462,5937,1612.263138
1351.651031,1445,1623.113909
4617.554022,6910,1673.909779
2695.540327,5958,1717.827941
-762.870592,280,1719.875229
4228.062695,7007,1772.274477
-1281.811387,80,1772.877968
83.964605,78,1773.463364
89.60527,80,1774.082497
78.654456,81,1774.703115
60.681564,80,1775.326577
80.213588,80,1775.947488
75.028453,88,1776.640335
75.564443,81,1777.267753
102.63458,86,1777.937396
6208.69386,5399,1818.831496
2129.247361,1466,1829.718053
1214.663263,1021,1837.373124
1951.316633,1043,1845.203761
9011.944889,3863,1874.054444
4598.514098,3272,1898.212502
6828.467325,4211,1929.682626
4287.945199,3959,1959.437346
6197.70131,7455,2015.225534
8014.142994,4975,2052.221243
-2368.773296,8075,2112.429145
2866.63777,1926,2126.792471
-3471.353715,7120,2179.857742
2935.081498,1134,2188.349317
8222.618401,7631,2245.2134
128.971541,1206,2254.131065
1092.380249,918,2260.943054
4449.173776,3079,2283.778619
8675.875298,4918,2320.668988
790.10474,7961,2380.618114
10349.16095,6314,2427.682703
5330.142761,5240,2467.210334
9346.922291,4487,2501.288357
6673.560031,4632,2535.942757
-1281.455587,788,2541.831626
938.706357,723,2547.178461
568.956686,467,2550.699779
1802.024351,858,2557.144223
2505.016347,1490,2568.158339
718.610722,841,2574.493282
7044.929183,3219,2598.551104
3396.538496,2291,2615.636116
4629.627878,3855,2644.550105
1768.899617,1792,2658.022362
4524.858189,9300,2727.620072
4497.617297,6007,2773.322089
7264.794533,5301,2812.912726
5316.28039,4437,2846.00452
8018.578804,4008,2875.835618
1439.085053,7764,2933.955015
-376.394403,576,2938.214369
1735.24434,8114,2999.112234
-3936.509548,11922,3089.570554
8306.202608,6995,3142.743512
2026.115092,5872,3187.211108
4985.747168,5245,3226.448527
-794.443602,1044,3234.216403
742.787572,706,3239.490201
3885.216815,8773,3305.524039
-961.330587,354,3308.250475
1629.975924,894,3315.031496
5322.527933,2463,3333.472684
6307.700404,5098,3371.666167
-1394.874082,292,3373.909515
7513.16827,5726,3416.881289
8469.103293,5074,3455.575993
-1206.865007,571,3459.829753
-121.82857,156,3460.98959
75.616244,109,3461.799558
232.928024,164,3463.033636
5339.193773,9097,3531.696921
5923.063759,6776,3582.927972
3399.061195,2712,3603.302576
-1054.74909,273,3605.305385
4237.907518,10913,3687.863706
1500.498774,690,3693.045654
968.602308,749,3698.778029
-11128.65598,15000,3811.87869
6934.440108,6904,3864.219792
179.438514,7129,3926.812361
922.58849,1443,3937.518172
1354.95797,1005,3945.085507
5387.501795,2433,3963.147004
4844.840296,6326,4011.273203
2511.009385,2243,4029.00094
5421.61246,3043,4051.708415
6864.026889,4766,4086.894239
4442.230224,5798,4129.520821
6078.287198,6199,4175.306512
5089.117436,8848,4242.641776
1537.169124,7824,4302.359561
4425.951011,7894,4362.53381
641.56559,869,4369.013374
1973.486946,1305,4378.837121
1301.383463,1090,4386.950122
13291.72492,5884,4431.036761
-2962.331466,249,4432.946346
-150.397168,38,4433.242821
5.690882,39,4433.545439
3.222592,38,4433.844484
10.306879,38,4434.134565
-2.367062,37,4434.425103
5.992438,37,4434.705616
10.482063,37,4434.995205
9.283485,40,4435.296957
12.704777,41,4435.613511
25.103073,44,4435.957849
1.737701,37,4436.249168
3.957999,34,4436.528797
-2.416709,34,4436.791644
15.441248,37,4437.095454
18.287955,40,4437.426567
1630.833358,779,4443.387082
-474.918202,43,4443.733097
28.038857,48,4444.109014
18.099363,46,4444.476879
33.348507,52,4444.896503
906.231875,430,4448.160093
-266.567915,46,4448.522926
39.197701,55,4448.950534
1287.120321,635,4453.834503
831.104809,561,4458.101212
-225.005473,100,4458.877468
142.157944,107,4459.706779
114.724194,105,4460.513214
2668.562164,7102,4514.077492
10910.193784,5087,4552.391399
-1789.134228,450,4555.714571
970.269553,3670,4583.373024
4775.609118,3925,4612.925016
-556.828848,876,4619.431583
1465.298454,1260,4628.981066
2622.276308,1690,4641.720658
9756.341138,4906,4679.131935
