#{"t_start": 1772320774.3450885, "env_id": "None"}
r,l,t
-101.431158,3116,44.581917
3326.563615,3140,67.824721
1073.457777,2518,86.338128
491.983193,3124,109.551143
-1082.953296,8162,172.166948
2387.136718,4189,203.333469
1838.199547,3386,228.885391
137.555944,472,232.452012
2496.068087,1927,246.821374
1016.941626,1917,261.128518
10225.361108,4609,295.400477
3327.541179,2047,310.991062
1647.208815,2551,330.666648
4390.751377,2572,350.356041
423.75555,982,357.865846
4726.759634,2108,374.044116
-44.038914,850,380.412381
-301.230611,179,381.76323
5924.536726,2189,398.159862
5402.107816,2819,418.978663
-1593.124237,255,420.915376
5649.537283,2422,438.885071
3102.815014,2546,458.194299
-759.805521,433,461.39158
3178.253924,1462,472.32491
1463.91982,1036,480.053442
649.090569,627,484.714143
-265.787086,100,485.485983
77.268936,88,486.15013
68.623123,78,486.750455
197.185414,122,487.690778
1.51103,69,488.223153
176.924612,114,489.084074
339.891971,207,490.644295
311.901631,220,492.290407
24.603642,107,493.100155
3012.181348,1232,502.36892
366.15806,633,507.023462
-408.352004,58,507.445307
3047.789378,1304,517.084201
11.917209,489,520.704006
920.276065,621,525.338357
345.578568,446,528.581175
902.221852,562,532.736107
734.164826,574,536.910625
6640.99061,3156,560.159201
2831.141371,2780,580.475157
-38.76429,675,585.459685
4308.413985,2836,606.166629
5135.501478,3134,629.364214
3726.005158,5866,673.046384
3093.270699,1868,686.894494
5093.26386,2547,705.729912
202.20527,922,712.621784
1659.368417,1109,720.897398
2968.708164,1560,732.376836
2126.0831,1504,743.494366
7057.0158,3158,766.810671
6844.826009,3591,793.580005
1791.461765,1675,806.032318
3066.051211,1978,820.552217
991.267647,1068,828.392159
7708.891471,3878,857.193631
-8598.885448,14101,962.012357
1066.015876,306,964.304189
26.192894,129,965.255387
2011.486566,847,971.511006
-441.340929,99,972.245537
102.254584,92,972.936345
485.232764,231,974.693768
270.229352,204,976.257442
884.180307,457,979.700467
31.355466,180,981.023551
375.9745,233,982.73223
571.132135,303,984.987279
164.631466,183,986.369437
342.758753,216,987.93427
287.223111,222,989.581191
3120.753391,1458,1000.39974
422.120814,9085,1069.023771
1413.915808,8371,1133.533441
5447.828732,8618,1198.78635
-3301.040299,10524,1277.76921
14351.727217,14649,1389.471385
4235.066961,3567,1415.891573
-1384.073095,356,1418.526385
4527.109754,2370,1436.01997
8428.674864,3888,1464.632404
3449.129377,5205,1503.332411
7159.364155,7397,1558.015873
1164.533472,1186,1566.806197
6717.680813,5926,1612.362612
78.519417,1444,1623.19801
26.064163,6901,1673.933495
6103.823227,5940,1717.713481
-264.169588,289,1719.823602
4293.183902,7021,1772.33745
-1388.7299,79,1772.925705
66.965483,78,1773.515902
76.509455,81,1774.134964
85.365027,81,1774.755314
72.385742,78,1775.363979
87.029045,80,1775.999471
114.901606,89,1776.684937
68.284489,82,1777.326387
74.910782,85,1777.982437
81.211658,89,1778.66195
120.199471,102,1779.426479
74.707478,84,1780.065292
69.221944,78,1780.669925
9897.031431,5272,1820.550077
-1799.09943,244,1822.402789
129.217098,186,1823.759948
312.988028,245,1825.551633
1882.762147,841,1831.811575
-47.902109,305,1834.098129
823.548767,434,1837.373158
2570.157542,1041,1845.189318
7111.073165,3862,1874.033303
1890.115345,1718,1886.757725
5709.311056,4531,1920.444427
2462.68135,1765,1933.650569
4907.394929,3485,1959.846052
6931.914507,6461,2008.145369
9496.984249,5140,2046.543845
5280.29953,4444,2079.629551
-366.681751,587,2083.965691
3990.413923,6362,2131.332334
-147.513229,6508,2179.904683
9276.659184,3886,2208.788185
9126.640968,5243,2247.967098
7241.548678,5575,2289.343509
9723.192239,4907,2326.120579
7219.071581,5964,2371.148891
1712.787525,1818,2384.729258
7027.282318,6373,2432.2504
8924.985397,6682,2482.629684
1133.366501,2444,2501.355813
11775.68726,7190,2555.133675
1528.37489,1888,2569.096685
1665.384966,1224,2578.319444
-2178.130788,11308,2662.918306
507.982458,7518,2719.107473
4870.596772,3487,2745.770496
2933.087,3286,2770.675661
8289.850018,4856,2806.921528
8239.01755,4399,2839.798685
5667.899263,5131,2878.046569
5274.788735,6487,2926.601088
5755.154702,5630,2968.53068
3720.805862,7046,3021.61249
4814.185388,4693,3057.408682
3210.610512,10861,3139.923747
1531.116372,6004,3185.418133
3387.45133,1920,3199.789883
6908.53138,5327,3239.610489
1593.914158,8153,3300.991286
-909.852071,85,3301.611299
2919.076734,1117,3310.118639
1866.752539,1203,3319.23297
9400.774137,5099,3357.230517
1937.383428,1751,3370.443172
4016.592332,6976,3422.99782
6132.444549,4594,3457.94922
4154.052153,7839,3516.834496
1720.872694,9203,3586.621577
5786.14091,3204,3610.599154
7691.783009,3970,3640.651051
-1469.402672,422,3643.906061
7069.749214,3894,3673.498989
3312.669457,3839,3702.459464
-1062.618435,618,3707.155363
1121.951205,779,3712.958071
1155.44295,1151,3721.537337
5676.089422,2722,3741.967309
653.190581,874,3748.627195
653.241714,660,3753.640913
1082.939153,723,3759.189481
503.188448,460,3762.7344
11575.883069,7866,3821.947935
6973.11319,4106,3853.251757
3238.614853,2638,3873.094643
190.720121,4116,3904.105628
2783.195022,1810,3924.389258
1316.136816,1472,3937.525603
4920.360423,3586,3964.241945
6024.910579,7194,4019.537079
7561.874847,4238,4051.494022
5718.537901,4082,4081.571686
-104.571551,1392,4091.816441
9931.435182,5064,4129.092343
5161.864192,7226,4182.513554
-5310.945546,10485,4262.597878
1007.677973,115,4263.469408
6256.242641,3595,4290.804376
6550.6755,6071,4337.334304
-3695.108828,9525,4408.678335
5207.033615,6769,4460.418639
630.771485,7129,4514.194233
10673.086576,5117,4552.723486
-2587.6142,408,4555.752008
3974.632134,10307,4633.332944
2740.383003,2579,4652.78338
8081.872209,6376,4701.386424
-13.169913,648,4706.310014
