#{"t_start": 1772320774.3450575, "env_id": "None"}
r,l,t
51.57176,3342,46.286807
5698.640091,2917,67.844299
-7737.888437,5727,110.186738
2894.317582,8084,172.242255
2162.396342,4273,204.053015
1415.107944,1173,212.976072
4020.973152,2671,233.043616
1702.958026,1841,246.771152
1445.71258,1797,260.167266
8835.698348,4990,297.289253
-1322.72357,559,301.472981
-67.653083,181,302.868011
124.990411,175,304.206215
236.246984,168,305.513442
4343.579651,2491,324.735157
-1355.88089,65,325.237887
3358.778356,3096,348.96102
3464.818032,2052,364.65414
793.674999,985,372.240563
64.820868,390,375.251692
1386.741848,756,380.881983
-292.27508,158,382.072335
4780.616304,1993,397.034927
2118.865615,2828,417.895625
-1500.419993,230,419.649791
6177.896162,2713,439.81078
-338.493576,831,445.990029
725.594114,553,450.271303
-395.201158,50,450.652893
28.865986,53,451.060048
2178.173732,985,458.55334
4500.213269,2123,474.367075
-1282.943433,205,475.883928
900.44287,497,479.591336
1101.249516,686,484.714035
-311.456487,95,485.440384
70.797636,97,486.186176
25.847713,75,486.767642
152.734512,114,487.633895
1.846273,62,488.106917
145.334191,106,488.907493
337.863231,223,490.594191
743.050066,440,493.902311
2121.15048,1098,502.166514
731.951318,701,507.32533
-408.339723,61,507.768535
3593.654022,1522,519.022657
-223.079784,414,522.09192
449.745425,350,524.737416
378.507698,308,526.985104
900.574528,545,530.955138
1243.918514,724,536.296897
409.145989,449,539.61482
2764.971841,1553,551.033142
3679.321322,1994,565.646035
1412.053599,1221,574.537919
6098.413132,4035,604.0977
2718.455896,2155,620.050282
3404.778742,2474,638.369338
4487.611004,2570,657.551208
264.834775,936,664.495454
1864.120823,1209,673.487463
3750.356006,2002,688.313385
3438.688106,4112,718.87612
2155.791814,1881,732.700916
5738.196361,3352,757.421099
6834.987755,3642,784.487793
-1284.886372,506,788.304627
4515.894574,2176,804.511014
543.562631,1114,812.77527
2896.028321,2359,830.06606
7167.839492,3629,857.013144
481.471736,1323,866.77877
10489.792772,5759,909.240605
-2514.968466,130,910.221419
2257.076524,8186,971.435903
1268.859672,136,972.444193
2484.374379,1136,981.014778
-224.120844,236,982.754322
522.528816,303,985.010634
149.763283,177,986.339389
342.935741,208,987.852062
367.744857,241,989.633115
2617.20925,1444,1000.350194
4173.133995,6712,1050.741282
-448.52513,838,1057.175869
4638.289021,3046,1080.617616
8546.419276,5758,1125.008001
2613.706548,1810,1138.943669
6442.635659,15000,1251.702283
-502.635801,9477,1323.916277
10629.268514,4517,1358.822014
-1191.193947,15000,1470.198041
1436.504328,799,1476.11041
9147.556217,6782,1526.233342
6282.683957,3670,1553.317436
1206.954628,1368,1563.425889
1961.899925,1258,1573.073043
8566.604528,6773,1624.781113
6075.644386,6463,1672.291861
2796.100752,3245,1696.148141
4762.411637,2682,1715.952561
-743.26381,354,1718.588375
11496.756053,4732,1753.393492
1244.061644,1802,1767.254991
4124.471119,2824,1788.965357
-1362.546823,93,1789.695556
9849.124939,3942,1819.375291
1083.479223,1380,1829.631401
1739.087702,1030,1837.346446
1987.833814,1047,1845.225758
5220.548343,3531,1871.584435
8055.307951,4952,1908.327097
6604.559068,4410,1941.279943
4418.652429,9689,2013.900467
11263.872451,5727,2056.521078
505.559482,1556,2068.115888
8790.732806,4240,2099.716587
343.89745,8363,2162.049023
7528.408488,3266,2186.418303
4852.957741,7023,2238.69257
8856.130237,5958,2282.977623
6841.60029,5052,2320.881231
