#{"t_start": 1772320774.345067, "env_id": "None"}
r,l,t
6662.396365,2709,41.475837
770.659998,3300,65.94845
3554.289564,3336,90.585131
-4405.939678,6272,138.06142
2161.759444,4423,172.016387
574.303905,4490,205.427758
1894.237587,2535,224.625262
1183.081496,971,231.910089
2770.565005,2091,247.508496
2522.304805,1663,259.90086
9872.761552,5027,297.310337
-755.764898,561,301.518747
-98.533397,176,302.860322
152.707007,167,304.135153
257.387044,175,305.490426
4634.183665,2652,325.986915
4811.234142,3103,349.750971
6611.760328,3406,375.874821
-513.699165,674,380.866706
-217.301143,169,382.146299
5209.298582,1985,397.04941
3265.984868,2769,417.447326
-1073.149293,282,419.588591
6629.638165,2721,439.832861
-855.571695,513,443.660167
3597.509494,1729,456.847846
2348.99566,1475,467.867327
2157.21306,1305,477.561289
-689.507731,162,478.791169
3176.77825,1226,487.990557
-762.23196,108,488.814055
371.782328,228,490.530725
830.870591,454,493.964686
2951.64151,1476,504.969559
-977.241627,61,505.419649
2644.858708,1114,513.67394
1133.517124,815,519.675159
631.442971,548,523.796361
483.364696,414,526.836947
318.737394,290,528.935188
799.578518,436,532.169168
727.787385,496,535.791582
590.969103,441,539.041881
3777.538525,2203,555.251392
1197.405444,1080,563.194628
4726.895469,2323,580.153124
89.70472,713,585.402811
5292.765038,2846,606.198795
6015.108734,3189,629.790423
4783.440128,5767,672.746505
3751.275364,2135,688.563241
4162.953957,2511,707.165034
2769.641447,2072,722.624303
2345.542349,1679,734.944299
6695.195538,2992,756.985216
4446.367381,2830,778.001631
5015.712786,2728,798.406194
7782.218316,4206,829.397932
6176.84435,3694,856.804965
551.297033,1054,864.599887
1446.828476,7565,920.502312
4568.654405,6941,972.443841
1745.197097,1129,980.952837
-259.062707,241,982.732066
514.504072,320,985.123961
5524.004187,2878,1006.450717
-1394.265712,110,1007.273801
410.832607,230,1008.962219
-7.666755,95,1009.678949
344.219293,200,1011.184132
344.499629,236,1012.914138
232.415793,185,1014.264704
1905.750759,901,1021.007782
5289.60934,3134,1044.541741
-1129.537887,8485,1109.954956
6390.980134,2888,1132.176407
-570.717031,598,1136.800717
5294.43688,7925,1196.717278
-1187.610424,8892,1263.188936
-4334.210414,13804,1369.246506
4623.962767,1968,1383.765706
5544.523952,4755,1418.922764
-1647.329828,317,1421.246788
4232.667809,1965,1435.737127
10023.755107,4538,1469.336618
-393.792223,1215,1478.388199
1529.592161,1104,1486.538857
6823.563216,8029,1545.896952
1080.344952,1163,1554.447433
7512.921807,3389,1580.066274
2220.701373,1995,1595.412298
-1765.57436,10934,1676.774255
5633.592231,2665,1696.345127
2310.773444,1624,1708.281252
571.643208,816,1714.292022
-392.513789,91,1715.010334
261.094394,188,1716.434163
639.092577,320,1718.80067
2846.88272,8814,1785.004469
699.429345,9547,1856.700499
5908.107706,3647,1883.896787
5688.461462,5211,1922.6305
5010.246865,3561,1949.284715
561.334232,1110,1957.666827
1752.566383,1137,1966.256821
6793.892438,6064,2011.583536
8211.950137,4605,2045.945896
3356.093072,3344,2070.734065
1042.779853,1121,2079.162069
654.418944,822,2085.256834
6194.563969,3829,2113.782579
7632.101239,5539,2154.985448
5463.434922,4603,2189.453945
4300.859612,6526,2237.951302
6535.330007,5811,2281.148226
8717.788101,5136,2319.668669
7125.734596,6077,2365.630632
-241.209337,606,2370.062176
6908.327015,6191,2416.128962
5268.794139,6155,2462.464934
8734.281775,5110,2501.318354
4043.207088,7198,2555.165831
-301.524991,884,2561.738986
2397.147463,1510,2572.984513
6261.49816,3414,2598.493815
3559.609598,2568,2617.636013
9093.654047,8443,2680.868495
4522.587699,8757,2746.924993
3462.272102,3337,2772.188953
10038.156025,5350,2812.156821
1451.935252,9207,2880.946543
6063.000269,7085,2933.838792
-292.260772,580,2938.110695
10092.969235,5360,2978.190969
-358.98857,7681,3036.237373
2104.447655,9131,3105.474111
7362.488004,6827,3157.783935
8010.312583,5304,3197.588344
1841.965397,2521,3216.434428
1992.064224,1411,3227.025295
1054.324433,879,3233.516796
495.207976,471,3237.060298
7394.08836,5581,3279.08242
700.796274,814,3285.210178
1724.291914,868,3291.731095
820.713744,806,3297.752696
2222.650574,1107,3306.131497
-94.418262,366,3308.94144
1138.850274,823,3315.176467
192.265015,362,3317.898349
3856.648915,1569,3329.684819
2782.475452,1801,3343.110062
-656.424001,233,3344.858474
4692.955086,6781,3395.658149
6227.654482,6150,3442.204254
7980.126388,4347,3475.080611
533.589322,8618,3540.407899
5015.67324,8736,3606.085909
2440.010465,8541,3670.893255
6090.470593,4078,3701.614389
1700.174052,1883,3715.795342
-1214.364587,8894,3782.818163
7739.626944,5371,3823.362507
5430.5449,3452,3849.630955
2078.221174,1916,3864.106774
-967.938937,6720,3915.089792
2134.617691,2516,3942.390089
3505.26774,1975,3957.105071
5220.785955,2562,3976.118148
-2602.478122,9137,4046.303804
1564.464379,466,4049.769168
6566.01831,3732,4077.224296
819.430888,1270,4086.690275
11620.639791,5785,4129.231798
3737.228525,11348,4214.08857
-102.226386,627,4218.846981
9009.799076,6975,4272.185285
-1412.57706,107,4273.012032
1984.298948,6645,4323.742062
3293.846368,7986,4384.096929
6602.177612,3607,4410.944384
181.424805,934,4417.990169
-366.635664,106,4418.763489
14272.331226,6095,4465.46593
220.520539,6148,4511.808549
6.615981,89,4512.489968
252.743535,144,4513.572221
4132.751774,9087,4581.971251
7746.927932,5104,4620.294373
2814.952383,2598,4639.935206
1851.790074,1622,4652.126201
6978.437684,4682,4687.858009
