#{"t_start": 1772320774.345067, "env_id": "None"}
r,l,t
5489.006352,2370,39.025148
829.966028,1418,49.561078
-8737.00578,6998,101.28232
4737.800768,2547,120.491812
3941.8054,2852,142.573472
2056.543114,2859,164.597445
709.679153,4966,201.521752
2859.851788,3240,225.976169
-25.28544,390,228.92663
573.817853,460,232.391444
1594.768072,1935,246.82845
1578.113561,1783,260.106179
7905.448442,4986,297.19117
-1068.080845,570,301.472922
-76.643895,197,302.99196
164.795876,168,304.277392
190.397295,159,305.513412
4170.709633,2649,325.979398
3194.754995,3097,349.690938
2844.564635,1974,364.786543
4990.393493,2477,383.63144
3863.290564,2223,400.224132
-674.394239,506,404.000049
4838.200833,2349,421.372091
3237.691076,2478,439.782254
18.438631,813,445.811302
1328.23919,783,451.879823
-508.221879,57,452.333251
2196.359368,1000,459.845151
-645.783272,54,460.246542
3749.067928,1579,472.036174
1208.064888,1075,480.060933
689.665735,626,484.714093
-344.315404,88,485.387819
103.976088,101,486.157065
55.721538,82,486.797559
152.499302,119,487.714828
-12.086116,59,488.166933
202.56602,127,489.121291
400.907269,232,490.882368
756.773546,436,494.155532
1517.306923,894,500.842936
2652.593329,1373,511.064445
-281.636416,375,513.800099
1531.109344,799,519.675248
663.995899,543,523.751005
381.823848,422,526.866659
842.393224,540,530.794194
1234.42035,745,536.296888
520.921129,483,539.865433
2959.584296,1504,550.918038
6993.630346,3960,579.891261
4366.133844,3091,602.528208
-441.152161,579,606.815172
7013.911101,3349,631.56358
-1409.675797,262,633.530353
5177.958705,2419,651.659394
5924.802799,3175,675.181379
6213.272109,3320,699.738483
-832.033204,701,704.90396
5079.755906,4283,736.642415
6478.790194,3119,759.691224
9194.738475,4527,793.401436
37.803628,1285,802.932166
5173.357464,3510,828.768978
1899.051774,1657,841.183903
3547.684147,1810,854.530601
7278.34612,4393,886.950893
1667.907872,6651,936.60547
1181.807023,8836,1002.319035
1223.368129,346,1004.853433
-67.201582,107,1005.668613
75.575562,85,1006.301824
162.264414,118,1007.184043
2921.957333,1197,1016.060032
1985.155332,1365,1026.264701
295.674797,512,1030.067324
1803.531843,1455,1040.98601
7559.195705,4116,1072.732064
1859.760079,2326,1090.606238
1961.531771,1325,1100.875118
396.766428,610,1105.560338
3762.899139,1961,1120.672662
7640.026822,6777,1172.312209
4323.666085,6629,1222.104068
848.194219,7387,1277.584703
12142.778839,5555,1320.089618
6641.233986,4970,1358.418571
-531.270845,992,1366.118329
8884.679945,12325,1457.086345
86.341176,996,1464.51836
5079.174677,5360,1504.374061
1455.755167,1226,1513.543579
1265.569991,870,1519.897314
1368.657327,847,1526.120529
1980.169307,1143,1534.526095
5660.057835,6171,1580.770293
8507.876879,5863,1625.448669
8032.731516,6630,1674.19338
10182.411281,5324,1713.344282
-2751.117439,139,1714.378554
46.061129,90,1715.080415
286.511272,174,1716.398674
679.972482,323,1718.786475
7281.146627,7132,1772.082528
-2182.864758,81,1772.703664
81.733735,79,1773.285131
74.001948,80,1773.897921
80.701525,80,1774.523461
82.351834,81,1775.151628
83.149701,80,1775.763885
91.999874,82,1776.412975
94.40203,83,1777.067241
88.973996,86,1777.73454
195.529007,129,1778.714443
90.409103,103,1779.486371
8902.203412,6671,1829.796396
80.868099,1140,1838.359752
2926.007887,1353,1848.487441
5252.779121,3285,1873.05096
6907.569599,3970,1902.387505
5143.021654,3697,1930.033676
4129.098075,3979,1959.945925
10522.707792,5769,2003.05433
5863.084078,3682,2030.566599
3016.965923,3763,2058.566584
5809.789526,3402,2083.93556
2321.201084,3674,2111.321895
6593.941803,6528,2159.943444
4706.183831,5920,2204.027151
-1456.283584,107,2204.853361
3521.513043,6709,2254.832657
1679.489409,948,2261.909199
5981.964767,6610,2311.307613
-2133.54363,10551,2390.561352
6366.588328,2912,2412.098651
-1111.308205,87,2412.743279
8219.611492,7315,2467.927483
-296.649179,1019,2475.524848
2047.615529,1088,2483.712425
4547.035067,2308,2501.433027
7456.780608,7176,2555.103219
1480.653021,1877,2568.981882
3464.111738,1805,2582.529177
3042.742172,1985,2597.376499
4870.247959,2361,2615.015785
2994.53785,3911,2644.317661
1232.605356,1826,2658.050784
5355.333402,9215,2726.996441
6818.683327,7083,2780.797716
7488.454867,6404,2828.67375
8902.91038,5274,2867.820778
9700.040764,5220,2906.991559
5187.4503,6613,2956.322229
5983.093382,4563,2990.640312
-670.853422,6969,3043.195695
-2590.364507,10794,3125.200693
9398.195649,6912,3177.821842
2409.305231,2429,3196.047436
3595.135115,2225,3212.688379
11824.812751,5803,3256.238762
-1743.165694,516,3260.11524
844.576937,625,3264.789386
-331.246574,80,3265.398335
2783.568787,8130,3326.696026
1660.381323,1266,3336.104139
7442.966423,4597,3370.49808
4141.768125,5174,3409.446652
7073.375071,5350,3450.04502
-1249.03739,101,3450.820393
211.460272,155,3452.01692
2122.764165,9115,3520.632275
3929.428657,8703,3586.549687
5093.417915,3074,3609.589593
3304.908999,6359,3657.936592
-1104.186624,698,3663.203533
440.974737,504,3667.018009
391.586345,415,3670.161448
4664.882046,3914,3699.610225
-973.544725,598,3704.177342
830.144219,661,3709.184477
1050.414997,708,3714.441376
9278.022194,4485,3748.134798
-1658.363578,437,3751.460074
412.871843,389,3754.412021
976.745699,610,3759.092525
549.565342,468,3762.699607
3659.941999,1773,3776.008367
804.263911,1012,3783.550255
931.283143,691,3788.759441
2210.280628,1321,3798.726114
1598.462496,8939,3866.459484
2431.739147,2111,3882.305335
4352.058552,4174,3914.188378
2171.803975,2208,3939.111171
4481.045349,2665,3959.01047
7783.962389,4044,3989.494475
3937.159655,3968,4020.434574
4044.508437,4131,4051.53958
4358.395549,8147,4111.459653
7382.315882,5952,4155.460709
2758.206934,4590,4189.605906
7758.343355,4113,4220.981145
1289.381514,8155,4283.250803
4222.344299,3675,4311.364447
388.754281,4045,4342.346966
1163.000444,8111,4402.890471
9889.431192,4388,4436.249254
-2267.57176,33,4436.512967
4.17947,34,4436.784194
2.274574,37,4437.087509
8.302427,40,4437.419126
1419.277327,754,4443.182266
-446.415617,45,4443.537748
20.363778,44,4443.889949
18.489758,47,4444.263475
18.046195,43,4444.612222
933.380149,471,4448.20799
-281.038108,49,4448.583179
36.704189,53,4448.997417
1969.992698,850,4455.522009
2024.205255,9472,4526.959514
6542.903868,4476,4560.747256
705.552349,1878,4574.799151
808.507244,816,4581.004329
7265.929307,5255,4620.467067
106.531394,1356,4630.703808
3083.416545,7600,4688.434972
4248.779455,3583,4715.5745
