#{"t_start": 1772491901.549741, "env_id": "None"}
r,l,t
-1625.185142,5673,74.865552
2677.37872,5013,111.982913
-3169.098806,6799,162.167019
1889.734189,5207,200.704111
-669.986479,453,203.944518
443.126609,559,208.02339
1496.254501,2137,224.05139
43.068637,1330,233.962539
178.641416,1096,242.477071
358.791394,782,248.307491
897.349791,1910,262.502775
-118.690472,1422,273.100076
752.837742,2425,291.201911
-3158.903051,2651,310.967404
375.266871,1664,323.489628
-3363.236498,4067,353.625197
-75.768845,429,356.823291
33.172897,2906,379.423105
898.0957,1674,391.823689
2321.600623,4814,427.524449
2659.89876,2699,447.269344
-185.432035,976,454.384824
1743.272384,1290,463.941694
-828.568472,150,465.077718
2095.098525,1200,473.907296
-821.783323,120,474.787874
2971.813751,3862,503.323116
-1014.296574,6351,550.011842
-1901.877419,396,552.903612
2525.400576,1348,562.838585
-1206.819973,5999,606.929973
-1651.075944,422,610.032396
577.176293,494,613.636547
1150.901925,2796,634.319505
3267.700719,3458,660.050466
4128.012712,3285,684.459898
5526.555338,3912,713.343157
-1648.616052,773,719.891917
1073.89368,6621,769.114352
-244.573813,1809,782.403378
-379.943685,321,784.782325
167.854746,276,786.788318
92.835366,213,788.385337
3840.154789,2031,803.409676
-613.596822,638,808.074673
68.697967,368,810.879248
400.930685,414,813.990049
216.437946,345,817.535826
284.101763,381,820.388433
148.406033,285,822.487673
287.997546,313,824.817915
177.218949,301,827.019538
3491.70202,5453,867.467904
3892.654183,2940,889.151151
3798.048958,3493,915.242409
-583.078379,1452,926.002124
2261.669784,4210,957.458773
4056.658085,3668,984.743485
-130.163408,1835,998.531281
29.909328,636,1003.3573
1276.009141,1230,1012.687418
1485.639671,1395,1023.233503
301.982139,975,1030.634213
1174.510243,1170,1039.513042
27.384684,524,1043.506158
1545.011534,6406,1090.861602
1625.462303,1374,1101.272639
2313.185811,1798,1114.908436
-1764.364231,6434,1162.525145
1439.470146,2383,1180.145689
499.598319,1217,1189.167104
-64.64397,391,1193.871073
-206.783156,59,1194.337906
221.120055,177,1199.978287
2133.509951,1305,1209.611515
-76.197222,447,1212.921191
7380.398529,3824,1241.202878
-29.541614,1405,1251.710846
7228.25809,4553,1285.515942
-2453.815536,7620,1342.184412
-213.650817,401,1345.185248
630.421014,506,1348.951362
4541.126878,2570,1368.184064
1684.389452,2133,1383.730965
1716.979516,1746,1396.377531
1189.867148,1364,1406.262192
381.149167,1702,1418.790924
-2207.007949,6418,1465.879025
-200.838758,1760,1478.863945
-1288.237427,6450,1526.313638
-5426.624779,7787,1585.645881
1323.0583,1295,1595.104728
2061.454187,1694,1608.731599
1139.314016,1487,1619.78302
2423.961311,2255,1636.373701
250.087048,1702,1648.930885
1629.731004,2088,1664.109986
-6808.246231,8164,1723.402168
791.21872,3538,1749.048609
4373.837025,5626,1791.534142
-4542.189647,4986,1828.49015
719.253918,595,1832.997494
3564.533137,2446,1851.515982
-2609.431816,3434,1877.514699
-73.218181,3960,1907.146417
3208.446482,4269,1939.052979
-6748.89637,7696,1996.954456
3501.825712,5138,2035.691323
2429.629051,3413,2061.380172
-7249.682444,9238,2130.46343
2158.709394,1196,2139.492385
6166.534033,3749,2167.745651
3385.760909,3177,2191.540775
-1312.601759,898,2198.207768
-1909.307531,7779,2256.53245
