#{"t_start": 1772491901.5495243, "env_id": "None"}
r,l,t
-2971.254826,3060,55.6837
-3319.314827,6021,100.223854
-6220.126814,8584,163.513739
1852.312555,5212,202.051482
-1868.247551,198,203.392716
1936.180965,1920,217.727338
-404.383213,836,223.976477
569.336246,1230,233.131945
441.267939,1199,242.417101
219.71043,791,248.329077
787.41656,1902,262.452713
17.503304,1434,273.160285
849.409653,2414,291.159695
-2386.192397,2354,308.754657
518.936718,1821,322.403227
-692.000502,2178,338.461665
470.244705,934,345.461681
-111.819101,329,347.898538
285.817425,356,350.54481
137.581012,313,352.860467
1484.89928,2353,371.347829
2000.46267,2591,390.559538
-997.987352,142,391.627859
313.147054,1768,404.758083
6316.378264,3150,428.107546
3294.392029,2615,447.227051
-188.606623,980,454.377839
1723.004084,1292,463.94928
-898.626851,156,465.129975
1951.152179,1190,473.881821
-849.261906,115,474.723264
4053.388775,3088,497.552615
899.047877,1499,508.535961
3278.79884,2888,529.903752
-468.508579,5866,572.977797
-1364.165325,670,577.894295
5447.049606,2827,598.635434
3531.802563,4169,629.268016
2344.180488,2204,645.810897
-1487.350987,98,646.523242
846.206793,561,650.653598
5876.973871,2946,672.446493
-2051.366808,211,674.027163
4359.823808,3501,700.05757
3605.217002,2773,721.32686
-580.59021,1041,729.072285
3873.050313,3288,753.506985
-2037.102203,183,754.864901
1366.652448,1035,762.60745
-459.813157,258,764.547368
6574.67593,3921,793.446012
-1360.863018,487,797.041479
770.953052,852,803.327471
672.893204,714,808.576044
80.672248,375,811.443152
500.633823,430,814.657204
127.620316,297,817.849244
220.61761,324,820.264913
185.825955,297,822.461238
301.595451,328,824.916658
132.928627,290,827.033318
1308.325662,884,833.62077
22.561273,435,836.844151
5108.670211,3132,860.050325
-1240.012375,655,864.893913
789.703729,655,869.749181
1855.024277,1799,883.009796
5620.530558,4230,914.509408
-97.11863,1554,926.052056
2978.524792,4186,957.311784
312.882768,5091,995.278285
-88.000461,923,1002.272724
1132.260396,1351,1012.522528
907.164457,1392,1023.053677
419.154707,976,1030.458938
1174.035799,1183,1039.431459
77.925193,536,1043.525833
1456.714991,1406,1054.02333
1517.205932,1327,1063.669893
-1898.388418,7453,1119.545149
-1036.894895,6196,1165.308561
310.831038,2076,1180.6206
-300.700983,468,1184.036068
1134.993125,1040,1193.595538
-715.742795,44,1193.938468
380.000489,242,1200.091438
1903.111866,1556,1211.57955
254.194297,804,1217.472525
1742.49099,1945,1231.810055
4603.572127,4963,1268.767568
348.298858,2279,1285.732058
6447.017666,5266,1325.223215
-1615.322603,581,1329.550616
288.373964,456,1332.858054
805.384919,705,1337.998592
2086.669795,2160,1354.130149
3600.360408,5423,1393.815168
1780.261734,1769,1406.612047
1704.743876,1983,1421.19092
-64.869297,795,1427.096028
354.515582,611,1431.579955
467.09811,529,1435.404086
325.259962,452,1438.736327
423.98673,557,1442.793786
177.982439,422,1445.941204
3732.636261,2734,1465.956614
141.228637,1760,1478.950442
101.856045,5998,1523.124319
1313.863537,4372,1557.152997
2145.976966,1645,1569.352208
-1918.990666,5443,1610.526032
258.066971,1247,1619.803931
1670.064563,1560,1631.339879
707.729834,1446,1641.915783
817.242659,2290,1658.665233
1498.108273,1784,1671.693591
