#{"t_start": 1772491901.5498497, "env_id": "None"}
r,l,t
-711.657766,4925,69.212058
2952.64175,3929,98.535188
1109.298572,2388,116.09072
-2671.867565,6553,164.498593
3336.197515,5092,202.122612
-2301.612517,193,203.428292
2351.891443,1780,216.734297
-103.727257,953,223.835518
84.867614,1244,233.096483
300.170363,1202,242.40179
305.162294,802,248.406054
762.356161,1902,262.532238
25.104689,1415,273.069733
1444.717945,2607,292.541519
-2300.993813,2608,312.008907
389.983805,1491,323.206672
-414.042539,2108,338.754412
846.677268,2143,354.728651
26.126165,1158,363.296295
1911.869196,2426,382.346695
3211.439774,4676,417.166896
3415.781891,2511,435.531771
1584.370736,1589,447.136834
626.434154,989,454.364354
2145.724735,1454,465.175041
1264.234576,1188,473.907305
-851.913884,122,474.800915
4553.362573,3086,497.604388
1174.893281,1510,508.695292
1386.25525,4203,539.745848
-2026.682392,256,541.579167
411.29542,389,544.448398
1687.576962,952,551.371263
-732.24613,90,552.025251
2599.519029,1471,562.858449
-1186.48893,92,563.570592
1418.505231,758,569.115845
3629.885667,5280,607.892091
-1820.435467,179,609.208012
559.700311,382,611.995209
46.498298,231,613.707216
556.600132,717,618.99185
291.83752,462,622.408324
-147.37641,137,623.392314
4354.796133,2984,645.641239
4194.1489,2958,667.5008
-1855.158231,253,669.339249
233.765942,262,671.281646
42.41954,171,672.579045
237.139016,218,674.209739
4598.734594,3089,697.211461
8.264856,5501,738.823185
990.342408,1979,753.417376
-1362.164496,180,754.762723
1946.811577,1217,763.886625
5236.439791,3643,790.701401
1110.346245,1719,803.44045
-481.250448,580,807.676597
167.874678,364,810.448091
595.653737,460,813.88674
208.247536,354,816.557153
315.59511,380,820.354203
166.965639,285,822.45172
328.863513,328,824.909384
172.705761,295,827.062045
4681.082441,5435,867.370306
3370.502394,2952,889.137803
-634.625958,817,895.223936
383.927469,566,899.477199
1179.735874,870,905.953357
754.429946,889,912.571578
2190.705944,1829,926.186182
1060.415367,4166,957.296842
3588.085679,3686,984.733842
112.14247,1848,998.623701
-83.067721,602,1003.187784
1555.923297,1267,1012.806241
367.112715,779,1018.67364
1558.968747,1445,1029.634656
1166.2334,1268,1039.247414
44.87156,551,1043.450742
1568.748364,1350,1053.537879
1311.701974,1329,1063.216254
5637.060226,4871,1099.479234
674.278021,1545,1111.19716
1505.934951,1581,1123.147748
1520.487127,1589,1134.762316
-4073.053908,7703,1193.550493
-114.575625,46,1193.908431
28.111575,67,1194.434996
204.467809,169,1200.01361
1119.321616,1444,1210.65925
406.671786,794,1216.510715
1428.057198,2042,1231.541324
4342.485558,7939,1290.697623
-894.847409,155,1291.863503
3767.697136,2073,1307.374929
1093.734854,1586,1319.33818
-160.786089,549,1323.449371
401.484855,542,1327.51223
419.745498,578,1331.690318
2306.982858,2190,1347.748125
-1029.280088,304,1350.287703
5682.547474,4294,1381.733719
4065.126114,3642,1408.166759
455.112946,5653,1449.703524
420.007315,2007,1464.432462
1880.730579,3498,1490.24965
-1371.099841,5591,1531.258127
-1254.140372,7457,1588.229989
659.081632,1255,1597.515059
418.421545,5182,1636.794683
-146.584201,1138,1645.157712
1721.033405,2218,1661.331114
2498.226468,1880,1675.085764
2331.140006,2214,1691.226628
2774.31279,3196,1714.294607
2396.16835,3461,1739.425296
3422.655302,3798,1768.531619
-915.420777,1407,1778.918357
3.177156,573,1783.047603
1950.921234,3080,1805.527885
-419.288217,3004,1827.898645
1301.546259,4807,1864.226411
530.937918,3391,1889.879403
3477.115596,5340,1929.774617
3581.112214,3664,1957.162108
-1922.314916,8273,2019.7057
3551.610984,4767,2055.537131
3813.910634,4489,2089.317265
-5275.474865,8128,2150.034902
6326.130595,3732,2178.058944
1274.235005,2197,2194.524299
-873.367421,580,2198.80895
3778.106479,5358,2239.020887
491.688793,2990,2261.339625
4925.324461,4499,2297.546195
1881.263887,2596,2316.594462
-2645.872134,2959,2338.48644
4204.364498,2509,2356.987438
2762.50657,4984,2393.69385
-937.634687,867,2400.059263
5137.173711,3886,2428.702288
938.613446,2602,2447.779375
2487.809093,2421,2465.487398
495.724328,1792,2478.651604
-11.049042,686,2484.620714
687.946063,647,2492.25652
-2427.485258,2882,2513.463503
-271.234136,4907,2549.621893
1092.012373,4320,2581.244432
-4265.689716,5504,2621.87817
2868.441635,2751,2642.198473
-3696.083935,3948,2671.37569
996.96181,3484,2697.043967
-5395.327947,8867,2762.405054
-5928.896762,10128,2837.429972
4495.795719,4188,2868.168517
-2719.877011,4386,2900.313989
2395.415915,1946,2914.496664
-511.36129,494,2918.229244
1042.932029,773,2924.124616
6916.556512,7988,2984.19743
-2343.258508,1455,2995.354435
-813.494957,2021,3010.131826
-736.560892,2244,3026.872354
196.680611,2036,3041.989758
-2026.420853,2539,3060.659211
-1231.142356,2974,3082.874914
-14391.089874,15000,3195.717474
3382.820621,2956,3217.453373
208.301042,638,3225.061505
1091.832087,982,3232.27823
381.014159,3160,3255.696067
1420.512937,2266,3272.532066
377.64167,1185,3281.369228
-104.824429,3688,3308.652372
1522.84172,3529,3334.977886
681.914152,2541,3354.218994
963.709968,3915,3383.668473
-6614.141924,6334,3430.559153
1163.456378,626,3435.247361
735.637933,650,3440.153404
7035.274058,4856,3479.852097
927.280772,2316,3497.307452
-10743.42448,7922,3556.943913
4957.409503,3480,3583.145215
-5045.665778,5264,3622.819086
-1315.078443,5613,3664.612344
-3485.21574,6674,3714.124685
1247.888344,1225,3723.252389
-632.250786,52,3723.647121
8.638547,54,3724.048031
1454.769042,958,3731.307642
-1743.751567,2544,3752.919378
733.63963,1560,3764.432064
-6488.660544,7198,3817.243456
589.688355,345,3819.77292
1283.595022,6356,3866.457965
3023.976774,1873,3880.053202
6255.339889,3830,3908.925305
770.581016,7381,3977.816729
-6088.040864,8242,4042.65456
789.183941,6818,4095.481561
335.023957,890,4102.01719
194.418987,1178,4110.615261
525.210098,829,4116.723353
2616.677633,3980,4145.899728
149.929211,1173,4154.638264
-354.711735,199,4157.219154
2857.555314,5663,4199.067396
-2345.401925,6618,4247.660464
-4163.451431,8156,4307.867307
700.995493,6162,4353.561073
4725.641981,4489,4387.395042
-7091.51408,8139,4447.488629
3933.47137,5496,4488.159287
2242.212658,3734,4515.590039
1609.632396,5445,4555.549115
-1242.179242,4125,4585.928651
-1482.540106,3946,4615.029373
-3980.210445,9906,4687.636684
-603.418863,431,4690.824216
