#{"t_start": 1772491901.5497298, "env_id": "None"}
r,l,t
2646.599837,3610,59.654303
-18439.860463,9744,131.593059
2275.532062,531,135.41091
3424.273003,2621,154.949899
1265.675654,5458,195.320462
-1881.448909,284,197.396701
-135.144229,86,198.023817
32.734228,89,198.716596
178.195533,187,200.11328
197.185399,255,201.959195
70.752705,258,203.762584
3045.737575,2736,224.191187
-427.809467,1311,233.955449
148.526241,1094,242.456318
335.983645,787,248.329151
-692.623707,3350,273.264601
428.112853,2571,292.437268
-2553.751375,2485,310.967313
176.035574,1514,322.359612
332.635682,720,327.626212
-237.787585,1591,339.437934
767.596225,1923,353.752779
-74.740683,829,359.916188
288.713451,969,367.101724
2090.889487,2842,389.190084
-835.940369,345,391.772216
2887.626283,1575,403.508425
-5950.184643,7426,458.071032
356.040185,168,459.340982
3614.930129,1647,471.542978
-1000.366566,264,473.463994
-79.611682,100,474.227725
5882.33211,3908,503.090195
-327.848967,1081,510.984963
2375.361516,1622,523.032546
4679.067744,4380,555.148878
315.061522,1038,562.802804
-747.140485,84,563.452794
1429.00471,831,569.546088
2116.168708,1387,579.727027
-13.001643,1656,591.814182
-144.906051,286,593.925694
519.709555,427,597.108525
884.291677,744,602.641232
2267.424621,1495,613.563019
-589.091318,945,620.543463
271.142251,842,626.71718
-5260.932438,7594,683.164786
-1642.062833,132,684.183404
7213.513072,3945,713.322121
-1754.169933,759,719.774853
-7144.809551,8764,784.760918
-462.657653,297,786.93107
99.94084,230,788.663575
3926.345807,1988,803.334803
-617.387808,634,807.986507
82.326251,346,810.634722
479.089426,446,813.969029
215.461854,351,817.566648
238.554147,366,820.299524
142.340749,296,822.48772
318.232698,325,824.916582
146.079036,304,827.146362
1372.218327,871,833.634287
5983.534085,3757,861.445011
-1633.109896,618,866.031832
4098.791728,3314,890.496146
564.628796,1308,900.281152
386.059973,769,906.00542
1228.541036,1049,913.825602
5811.244378,4375,946.396908
-1766.775303,501,950.199287
1727.171132,1560,961.819518
4111.896007,3247,986.018712
-424.342221,1901,1000.313545
197.967053,909,1007.22416
2606.906424,2277,1024.442496
-130.298953,894,1031.231291
1112.411401,1164,1040.066393
-3178.197491,8036,1099.78249
2717.562435,1529,1111.375862
627.577399,962,1118.68597
4095.464152,2645,1138.19818
895.10698,4639,1172.483103
-437.091591,772,1178.185305
1329.264811,1173,1186.837546
-498.428044,235,1188.6084
715.756284,510,1194.232594
-108.224911,185,1199.93765
2429.020804,1578,1211.593866
335.763583,801,1217.465148
4064.540649,3665,1244.646168
713.817969,1383,1254.940802
5205.60212,3402,1280.148449
