#{"t_start": 1772491901.5501506, "env_id": "None"}
r,l,t
-13816.947016,9014,99.708957
-5084.648246,6462,146.985866
5742.704843,4823,183.10934
1380.926596,2672,202.676105
-1333.218495,161,203.84272
920.511075,580,208.090523
795.266546,2142,224.152619
-185.069671,1314,233.940216
344.724441,1097,242.46265
304.041927,780,248.276233
1022.066578,1905,262.423906
-129.51475,1434,273.130142
1262.55406,2586,292.422252
-2940.337046,2187,308.768902
613.947168,1809,322.321947
-3420.633619,3251,346.420169
277.26428,282,348.516925
169.275458,285,350.631613
193.820575,295,352.809908
881.381084,1004,360.281599
336.568842,925,368.151319
366.426124,598,372.567214
3398.640836,2536,391.395953
784.484205,1626,403.535069
2144.673644,4812,439.043996
1825.902409,1772,451.934457
-1428.846512,110,452.733007
3029.244587,1510,463.905432
1537.061359,1349,473.867893
-1002.235663,114,474.70106
5328.166695,3111,497.693395
947.614589,1498,508.694743
4406.990628,2681,528.520553
-1715.1173,291,530.647903
269.363163,286,532.741786
3471.614442,3727,560.073797
-2242.679723,312,562.375778
-140.511501,79,562.98028
146.609286,151,564.125714
5801.055399,2946,585.69592
553.503563,1445,596.286374
-1056.727781,119,597.20045
1391.421609,762,602.854813
1772.074656,1319,612.492976
-823.136094,182,613.828837
710.545956,896,620.441207
670.261122,848,626.648427
4092.180853,3708,654.291547
2469.333934,2460,672.46016
-1308.319256,209,674.026509
3710.13257,4813,709.723224
-851.069773,881,716.252552
-253.101,288,718.367987
4430.481482,3393,744.438927
745.519064,1678,756.869924
-1072.879263,138,757.915876
-8.063458,110,758.742635
67.107132,140,759.828006
4002.133116,2335,777.042907
-1567.642489,173,778.305156
852.401312,563,782.446493
117.079451,305,784.695779
223.17254,287,786.787827
90.456248,212,788.377691
3724.155785,2032,803.409173
-545.081921,602,807.804227
131.569914,356,810.525837
535.915184,456,813.938826
190.306376,355,817.566107
242.278046,365,820.291837
185.490426,292,822.437736
327.329057,323,824.860741
168.764213,311,827.145812
5065.353137,5421,867.339924
2655.413671,2958,889.157795
2555.218117,2274,906.132103
-7.089261,1037,913.856849
1890.344506,2102,929.518363
1209.215881,2335,946.894845
88.195205,661,951.900918
1635.401275,3879,980.751453
2289.274916,4023,1011.06331
-6857.617751,9066,1078.697405
4402.93258,6090,1124.652265
401.729347,5427,1164.736839
1467.992746,2128,1180.437348
392.585538,1187,1189.249364
-90.992465,373,1193.810482
-236.634294,56,1194.246993
242.782013,183,1199.937114
1220.089409,1312,1209.634529
393.894951,705,1214.801371
8142.213584,5184,1253.229072
3159.001622,3272,1277.505022
145.905405,5157,1316.20016
-1145.990022,598,1320.705705
634.564455,775,1326.528293
475.10232,701,1331.62959
672.773791,867,1337.967215
984.132171,985,1345.158839
-181.308968,244,1346.982295
439.675521,399,1350.23435
-103.781552,6896,1400.632956
1797.546846,913,1407.225752
1614.038892,1975,1421.743899
689.156941,7413,1476.127869
-613.990903,897,1482.726619
102.133596,6619,1531.418073
3985.757561,3258,1557.381615
1760.265657,1790,1570.620838
-9226.461852,6299,1618.166972
49.610187,147,1619.280821
2748.256697,5825,1661.96973
18.679011,1363,1671.996849
1324.152637,1392,1682.131417
4210.842606,5095,1718.999446
-2901.202459,2839,1739.622292
3679.558674,2741,1759.498312
-3007.832449,4335,1792.643696
-1429.678746,5892,1836.470571
1360.269882,3930,1866.190328
-474.398316,738,1871.79668
2321.184775,5806,1915.319236
-678.974356,304,1917.600262
3854.598903,2696,1937.793616
-2481.686845,6546,1986.965919
5840.370563,4347,2019.897664
1905.99186,5007,2057.550233
21.334159,2889,2079.233054
-1613.701061,2785,2100.225872
2428.363046,3119,2123.181955
389.066965,1838,2137.062694
-6714.866316,9672,2209.661813
6805.615548,3573,2236.457633
377.882655,3058,2259.340993
1441.978472,5992,2306.478364
-5059.680167,3939,2335.520211
5129.147924,2959,2357.365989
5501.096092,3754,2385.019571
1197.10708,2011,2399.807324
2731.159081,3921,2428.71667
3397.327033,8181,2492.511444
-3680.555528,2809,2513.175168
7160.989612,6446,2560.599939
3642.526068,6260,2606.589966
1727.965864,2516,2625.190092
-4735.614551,4915,2661.531684
633.955771,3095,2684.412823
-261.885283,660,2689.242784
1576.10267,2346,2707.017089
1510.582282,2802,2727.708475
-3455.829997,7316,2781.002368
1562.456165,4642,2815.212056
649.0738,2229,2832.037569
-150.028582,4732,2866.830839
972.548049,4215,2897.708888
2443.303579,2467,2915.811927
-543.289816,517,2919.732603
5974.830851,4082,2950.620361
-1660.762555,2225,2967.422113
-1081.395004,2081,2982.884753
261.258515,1621,2994.690955
2655.149695,6590,3044.035864
-2466.58053,2346,3061.27343
-1175.834639,2971,3083.512827
1224.10868,1152,3092.210783
900.463004,10025,3168.520873
337.525332,9605,3241.860405
-64.147558,1401,3252.358097
40.990989,2232,3268.82011
623.091232,1785,3282.076194
900.511838,1292,3291.660478
6716.510848,5051,3329.052289
-1598.024965,3438,3355.123855
-289.002952,7362,3410.247258
2225.011895,10175,3489.44754
3385.839693,3931,3518.958123
-1608.150182,4785,3555.080079
3633.518949,3733,3583.191496
-5035.224459,5265,3622.869929
-2215.401668,5599,3664.552344
-6826.365892,10383,3744.558946
964.424187,2482,3762.881921
5093.257921,5845,3805.832862
667.335473,1666,3818.014534
-872.109942,6592,3866.420367
2947.549559,1969,3880.711905
6268.453404,3641,3908.210531
-3111.844182,7060,3974.771723
-706.078897,500,3978.391027
-5269.775329,7944,4041.112047
3385.496828,1928,4056.27943
-808.490183,388,4059.058087
519.410074,459,4062.370474
2132.63011,1333,4074.096111
-565.779601,1154,4082.47929
273.279585,953,4089.385258
3057.608618,2295,4106.244841
376.971274,5775,4148.743106
900.660688,5711,4192.074821
2467.848768,4992,4228.708079
3336.200311,2848,4249.65086
-2218.399401,7781,4307.107431
1359.903616,5321,4346.48262
1874.644638,2833,4367.764829
1280.098173,1837,4381.647022
860.882022,1693,4394.422768
-600.018881,425,4397.61038
6601.263231,6050,4442.072872
2142.631836,4938,4478.423581
2488.615891,3795,4506.50673
1734.315948,5888,4549.751345
591.249845,4797,4585.089151
3615.111499,3335,4609.655907
-867.888479,9597,4680.091004
1442.114789,4761,4714.799648
