#{"t_start": 1772491901.5498343, "env_id": "None"}
r,l,t
1478.193835,1398,43.868668
-1192.616724,2659,62.781193
1048.336967,4654,97.528118
687.069877,2534,116.111681
936.593823,3512,141.720619
-1255.895059,934,149.138328
5388.377477,4415,181.716616
240.800877,1893,195.575427
-817.832092,259,197.467225
-116.368695,85,198.093209
32.097459,95,198.835766
124.761125,154,199.977901
338.649666,278,201.994806
41.431384,256,203.790452
638.491666,579,208.036523
1232.860149,2136,224.051153
-185.244246,1224,233.161629
434.340746,1197,242.437216
304.287514,788,248.321155
1286.406806,1896,262.392318
-487.205508,1436,273.107968
1502.739265,2423,291.188167
-888.666752,737,296.74592
-3758.426464,3202,320.646005
-864.637542,2393,338.339854
990.869323,2190,354.665178
-118.87232,757,360.295017
580.683701,925,368.159148
335.080441,2840,389.218651
-593.072581,322,391.620427
6782.37174,4842,427.546671
3776.84263,2695,447.248951
-111.769705,978,454.384583
1867.093676,1290,463.941365
1533.519231,1313,473.612256
5089.740863,3315,498.122492
649.173046,1437,508.667808
-1442.310567,5852,551.724717
-1931.070715,166,552.932045
2555.27939,1344,562.838357
-1113.190006,88,563.524371
6352.678045,3024,585.682146
-1652.715614,307,587.925982
3390.475745,2401,605.630941
-754.733703,554,609.687417
533.656141,541,613.636444
411.627742,713,618.890973
362.51993,1066,626.724086
5784.915045,3584,653.432481
-2764.154127,107,654.223317
4250.628631,2471,672.488126
-1524.816557,204,674.012473
6673.808747,4129,704.666848
3957.657454,2900,726.925277
2510.557808,2687,746.929491
-69.43515,1192,755.785116
1383.764563,1197,764.725514
6780.564229,3921,793.623817
1029.925884,4768,830.006997
510.44855,930,836.919183
5736.498929,3313,861.4315
-1623.369812,592,865.838131
5050.93279,3331,890.419003
512.816295,1249,899.783059
807.089105,928,906.706728
1127.895619,1073,914.697216
1068.646948,1516,925.944036
2713.161232,4205,957.354417
-49.768495,5187,996.053168
-76.661753,800,1002.108691
1184.132908,1370,1012.499726
1488.567399,1383,1022.951441
336.160202,957,1030.216553
1462.43071,1219,1039.475927
-15.92337,525,1043.46996
3033.024526,2168,1059.513689
4573.493829,5423,1099.804372
-272.016479,1508,1111.24376
1474.605426,1546,1122.936341
1745.449879,1617,1134.748798
7147.101193,5127,1172.670247
558.792357,2332,1189.953349
-970.04612,251,1193.595189
-155.013077,44,1193.93813
333.844964,235,1200.035042
1714.377615,1559,1211.54811
785.451144,1089,1219.564061
3386.144575,3469,1245.29146
245.384099,1170,1253.974679
6183.276443,3501,1279.939274
4419.105037,6956,1332.023335
891.45871,1862,1345.582869
-402.700422,525,1349.829281
6511.304108,4402,1382.076437
1984.782837,3526,1407.683749
314.462518,1935,1421.926215
-387.526925,715,1427.22575
2039.448044,1510,1438.262384
-236.723747,584,1442.509167
187.32749,440,1445.787209
2041.588903,2995,1467.705314
-1805.326076,3633,1494.625353
4007.800105,3982,1523.846731
902.439944,4294,1557.308683
2009.828437,1793,1570.571084
-4735.226855,5139,1609.52814
1574.752649,1360,1619.628948
1665.359254,1598,1631.450873
1645.353841,1827,1644.81711
950.112708,2277,1661.425138
1728.738328,1695,1673.852228
3335.142379,5035,1710.317684
50.092401,1845,1723.754107
-350.023599,3851,1751.653164
1203.69702,1609,1763.302274
-1901.144755,3804,1792.621126
757.856235,737,1798.003838
-9123.014423,6296,1845.113552
2294.718075,1215,1854.305799
699.761907,2087,1870.057209
-434.750763,313,1872.444303
4300.507809,5754,1915.577796
4536.445905,3137,1939.030255
4653.250016,3313,1963.767441
-725.960575,937,1970.854997
-304.146031,4587,2005.579371
-1131.316516,2214,2022.309114
4569.513752,4673,2057.50432
2409.580614,3375,2082.852039
-2571.645996,3959,2112.478493
6145.459813,4538,2146.393652
4081.538697,4166,2177.669096
750.128583,2203,2194.192062
-853.749893,604,2198.656201
-2150.550888,7781,2256.993303
3872.715312,4215,2291.104769
-1878.197248,397,2294.086983
6702.574895,4467,2326.878778
2779.021671,3337,2351.570231
5816.214707,4428,2384.173044
-1089.273332,931,2391.082826
1424.255729,5857,2434.174122
2789.656902,3404,2459.072345
-1761.515236,305,2461.331042
1634.912971,1455,2472.024323
144.48013,598,2476.407761
569.20731,647,2481.18122
1044.252307,882,2491.400298
-2393.336703,2962,2513.217214
1530.043359,5845,2556.328674
-437.621046,865,2562.538668
-16006.431383,13173,2659.694217
3851.376785,3004,2681.836553
-3862.160419,5723,2724.549317
2027.840866,3081,2746.916442
-1836.840076,3696,2773.988514
4209.713618,3893,2802.318046
324.133893,1796,2815.840386
1151.858846,2167,2832.199548
1323.321387,2548,2850.887264
-417.44971,4411,2883.31173
-1021.675233,6403,2930.680791
-1426.222825,2305,2948.158139
67.105332,1257,2957.63465
-1803.339133,3447,2983.418134
372.720252,1562,2995.386024
-658.158561,2027,3010.202859
-1605.560574,2283,3027.228902
577.699582,2031,3042.325688
-2044.73343,2533,3060.926876
-437.18245,2853,3082.266265
-11872.932855,15000,3195.076884
2897.944794,2797,3215.663102
539.698501,789,3224.360078
366.958313,596,3228.7425
1443.585526,1261,3238.08157
932.31123,2624,3257.546151
1398.295932,1895,3271.587552
1064.469083,1400,3282.047901
690.761085,3661,3309.135943
1566.912594,1818,3322.599041
1629.079601,4107,3353.619498
-13042.27449,13856,3460.218969
1220.410391,1609,3472.344869
-12645.105727,7297,3527.173664
-1952.902227,7366,3582.736996
-1589.817096,5332,3622.950158
-1926.203291,5595,3664.60509
-5369.037249,5446,3704.843445
2368.509123,1088,3713.033448
879.605042,1648,3725.385652
-623.10005,54,3725.808777
-4.256929,54,3726.226324
-1156.634521,1848,3742.807032
898.121352,561,3746.945673
1354.47237,7664,3803.402377
-2154.637506,2743,3823.450905
-2917.893309,7670,3879.58057
7379.738305,3803,3908.258764
-597.139922,6758,3972.569595
-431.613266,224,3974.259352
3621.41197,1823,3987.453942
4504.557117,3186,4010.858143
37.444369,5984,4060.224644
-634.672141,520,4066.046474
-426.319396,5810,4108.485501
-324.344497,884,4114.894387
603.125803,786,4120.592752
2987.508537,3101,4143.406244
-169.163337,1147,4152.014847
248.344648,541,4156.013288
-476.365951,7917,4215.39021
795.82823,819,4221.436018
2916.678045,3371,4246.226472
-4246.93137,8050,4305.67737
2582.602505,1688,4318.148108
7097.816634,4213,4349.314214
-5092.639939,7778,4407.823614
427.506525,1770,4420.774933
-61.660297,1548,4432.126832
4121.54117,2858,4453.14146
2955.917927,2536,4471.819006
5143.793629,5953,4515.806695
-1863.385586,6364,4562.512925
2331.072171,1906,4576.591244
4271.073249,4572,4610.22061
-6590.592573,10863,4689.918693
