#{"t_start": 1772491901.550033, "env_id": "None"}
r,l,t
-12467.607338,8736,97.709794
949.059253,8592,161.009823
996.980242,5483,201.564228
-1264.493782,321,203.843025
699.386842,567,207.987612
1232.042539,2130,223.95349
-360.866942,1231,233.117985
-0.336269,1201,242.429316
245.940767,790,248.328629
1259.780838,1902,262.452204
-124.514305,1429,273.107918
2499.96463,2449,291.383161
-3357.809916,2619,310.90796
958.308815,1534,322.464413
-59.380166,1176,331.039407
330.290317,699,336.254742
462.106263,566,340.497139
1003.569216,1688,353.065084
167.933438,970,360.281855
539.655834,925,368.151516
310.973625,595,372.542989
4545.763948,2537,391.381296
-709.165917,1701,404.057409
2751.80272,4753,439.149158
2458.388884,1638,451.04073
-1158.526043,104,451.810408
62.686633,110,452.621058
3000.741914,1530,463.941177
1153.476149,1311,473.596074
4595.945717,3280,497.852431
668.983233,1468,508.613067
1269.566578,6178,554.062361
83.084549,1189,562.830844
-854.76333,90,563.533757
6239.925941,3021,585.667707
464.500535,1452,596.309058
-1027.58535,117,597.210557
1450.79345,752,602.78284
-486.358788,106,603.599341
1218.91609,835,609.672482
463.092295,547,613.670954
173.409977,708,618.877026
744.313065,1068,626.731225
7353.062712,3775,654.873638
-378.621662,1209,663.800737
504.518605,779,669.51981
-93.209494,329,671.971167
-143.028962,84,672.600102
1376.446487,1008,680.141147
4841.210282,3890,708.930738
-37.703177,991,716.290244
324.748023,779,722.808181
2222.931203,1908,737.137448
34.00344,635,741.820925
2562.285764,1580,753.473522
-933.66113,186,754.864487
5145.999627,3402,780.072251
-2161.705157,191,781.476604
90.647528,166,782.693094
393.613018,320,785.035499
4001.964415,2479,803.375432
-626.205627,692,808.444721
96.514544,373,811.292905
306.821702,356,813.961266
281.624288,356,817.600299
307.563311,360,820.278926
185.994432,300,822.5092
285.162024,316,824.860949
180.126909,304,827.083118
6478.434024,5417,867.249739
3323.106682,2961,889.092026
-772.010502,826,895.248075
355.067554,559,899.447224
3446.690331,2083,914.994935
-3.592222,1596,926.825894
2103.874281,2720,947.102041
-668.954982,410,950.220375
1021.478463,6057,995.39405
954.424721,1013,1003.062688
764.584131,1266,1012.673633
1139.943546,1367,1023.01396
429.464515,968,1030.356896
1029.111672,1181,1039.304953
66.568263,548,1043.492273
1831.313993,1391,1053.885221
1584.511698,1371,1063.85814
212.155273,7441,1119.645187
350.487596,6109,1164.767891
554.869592,2111,1180.344567
399.824799,1205,1189.285686
-93.071967,367,1193.797087
-215.133649,61,1194.279287
244.875213,181,1199.956526
1806.694568,1482,1210.879453
387.534486,769,1216.546377
1887.543922,2032,1231.504177
4413.415374,4984,1268.622295
145.276238,2238,1285.2726
5730.277378,4947,1322.425483
-1024.121647,569,1326.683649
469.161605,683,1331.649181
2864.759981,2190,1347.70301
1962.778469,1631,1360.121105
-2617.801604,7698,1416.209065
4391.776827,5799,1458.870459
-719.06318,3423,1483.899664
-342.534744,6465,1531.419036
-473.985051,7425,1588.151904
1597.890007,1305,1597.808924
3351.471971,5175,1637.040463
-897.658774,1106,1645.157478
2026.279195,2220,1661.346304
2004.308194,1735,1674.05073
2477.028858,2339,1691.084734
5234.0159,5093,1727.928641
-3849.92788,3427,1752.773733
706.251553,2343,1771.430234
82.304197,938,1778.342546
395.214457,704,1783.442566
1204.040376,3787,1811.113826
2441.599399,3048,1833.970766
1377.678787,3738,1862.210709
2021.134198,3631,1889.682587
-333.588594,447,1892.979015
2872.632091,5489,1934.007363
3296.809629,3044,1956.775475
-942.337525,7189,2011.10017
1901.266687,4727,2046.651062
4124.048961,3179,2070.578923
-7666.027044,6595,2119.884488
2388.180761,6346,2167.559485
4494.354023,3241,2191.850122
-1431.312005,857,2198.207458
2747.365303,5146,2236.817604
1157.036603,2805,2257.821724
3107.113823,3057,2280.315692
-1055.359012,515,2284.072996
81.723884,268,2289.162406
820.240716,573,2293.388203
-17.181588,235,2295.150175
4986.677717,2417,2312.826326
-3332.30869,3833,2341.200735
4650.987947,2396,2358.816329
1625.967261,6092,2403.701782
666.637835,2395,2421.337054
-292.783271,1503,2432.387709
-6780.976296,8361,2497.502662
-7317.614872,6154,2542.809806
147.149711,8610,2606.091646
2418.149595,2645,2625.636423
-3844.674389,4911,2661.954917
902.315704,3068,2684.620383
494.534607,2448,2702.648935
3307.251265,2704,2723.057297
-728.598279,3049,2745.212195
1353.97797,2828,2765.865348
2645.645524,4047,2795.495103
941.273074,1722,2808.115209
469.044274,2186,2824.67118
-6612.93687,9724,2896.219686
3435.568781,2127,2911.763098
218.804376,834,2918.002386
608.539784,810,2924.1761
574.046091,2600,2943.785137
-507.750035,1592,2955.827734
-263.901539,1364,2966.15957
-3544.763443,10859,3047.008155
-1472.099685,2262,3063.564477
1122.742233,2179,3079.926966
-2842.153545,3611,3107.119509
2023.548979,1211,3116.138583
13.534109,2254,3134.942344
-3874.295467,12156,3226.811579
1474.938176,1653,3239.069998
696.053072,2364,3256.597774
-1799.705912,4092,3286.995677
1719.239055,2822,3307.854061
2181.42275,6598,3357.439982
-2485.327486,7306,3412.050424
-6075.104902,7199,3468.88903
2113.41964,1835,3482.704766
-1029.027446,6426,3530.996525
4320.861018,3256,3555.625374
2428.87307,3648,3583.085371
-5200.789914,5270,3622.811201
-3115.838489,5607,3664.552514
-4449.023074,4043,3694.424811
2357.081212,1206,3703.3088
3562.165263,3548,3730.000642
-440.236061,933,3739.701379
-555.278628,62,3740.161043
-16.793113,50,3740.531666
2692.034565,1796,3753.839085
809.906247,1524,3765.080363
-11321.347058,7869,3822.83836
2192.397354,954,3829.825136
5678.188041,3739,3857.26543
-434.787247,4390,3889.478932
24.498754,6324,3951.515167
-4070.24066,7543,4006.513643
-1272.869534,7000,4065.291233
-724.087983,130,4066.273424
-1028.722705,5690,4107.840491
-633.699874,691,4112.86728
-1091.677863,7958,4172.708145
2402.052718,2476,4190.957067
1622.78501,3023,4213.087269
3155.189726,2674,4232.744165
4087.285455,3173,4256.137769
-1345.602391,1291,4265.699178
2989.602321,2827,4286.465762
-1152.94283,220,4288.087861
3003.242993,1830,4301.660824
3476.2468,4132,4332.194711
3846.728033,3619,4359.166106
2717.15716,5273,4398.93731
4034.212493,5363,4438.328121
-1152.663584,1950,4452.690241
-2974.918921,6190,4498.36774
-231.837024,1062,4506.209051
4142.192151,4410,4538.657921
2053.729696,2648,4558.076999
-797.929765,740,4563.550599
5402.000238,2897,4584.903104
2218.699397,3047,4607.318029
6633.489603,6219,4652.840566
