#{"t_start": 1772491901.5500343, "env_id": "None"}
r,l,t
-20182.114877,9264,101.508789
6241.00153,4440,134.072768
2832.44374,3063,156.857882
-751.847062,834,163.014646
482.432026,894,169.69067
2694.684795,4466,202.611501
-779.525739,164,203.777018
1560.912809,2712,224.023029
-355.856718,1231,233.190125
496.914832,1191,242.40144
401.847588,792,248.328581
680.408281,1909,262.509795
-172.789544,1423,273.121093
2184.045268,2604,292.557613
-2354.194956,2168,308.754182
445.852352,1812,322.329571
-2030.539586,2610,341.612288
379.841608,511,345.461195
81.977666,324,347.862144
142.073269,333,350.339128
274.901919,340,352.852783
585.123861,942,359.863061
600.322101,976,367.101358
2987.650604,2849,389.242398
-884.964881,332,391.72479
7155.253245,4827,427.52399
3017.891931,2699,447.269079
-286.68248,973,454.356969
-687.089477,102,455.094784
144.109679,137,456.125135
4243.774539,2010,470.991465
-1061.695235,339,473.47087
-154.5225,97,474.206955
5381.620326,3178,497.69351
862.228714,1470,508.467998
-767.627849,6310,554.875373
506.605708,1074,562.809866
635.60219,5978,606.752089
-448.912632,442,610.006447
556.663736,498,613.636283
306.793528,718,618.927734
3816.107562,2688,638.973975
-1953.787062,96,639.695297
596.451137,402,642.654882
431.268855,413,645.708966
6090.697707,2948,667.486079
-1558.532793,255,669.33888
254.68865,262,671.28126
296.13001,270,673.307993
325.03431,307,675.60702
736.582264,587,679.995458
4004.756609,3962,709.336108
598.952525,1814,723.563908
1692.089705,3194,747.347644
306.227311,1140,755.812799
956.301569,1486,766.845201
-567.406909,290,769.021144
2156.252468,1718,781.650935
-587.236004,235,783.388965
949.408349,620,787.951999
-83.922916,249,789.800961
231.581236,244,791.591113
572.576911,525,795.497416
4394.379772,4535,830.151551
-603.843538,1046,837.93533
1919.804001,1483,848.988921
2439.856282,1766,861.958152
203.567402,871,868.425907
2092.68201,2064,883.67284
-44.421602,756,889.23276
4420.508334,2266,906.147125
18.192613,1094,914.293665
1111.916936,1586,926.087092
3135.195909,4188,957.371291
4663.228551,4326,989.684977
-647.277902,1351,999.782952
180.757642,742,1005.413157
3892.866234,4627,1040.486654
-5788.239834,8846,1106.374237
1824.239288,988,1113.841427
4597.84153,2909,1135.416112
-4723.605425,7865,1199.759396
1591.160217,1756,1212.747977
561.07058,974,1219.90496
1646.998196,3504,1245.881663
408.53162,1099,1254.054506
5926.641889,3409,1279.335197
-450.179545,9038,1346.650314
1443.075586,1630,1359.049045
2107.772693,2006,1373.732688
3753.213066,3308,1397.74324
283.607868,1451,1408.23373
3608.514694,5466,1448.460942
141.697747,2321,1465.460241
1215.044936,3303,1489.82579
-624.086054,5638,1531.170139
-4401.769348,7481,1588.31972
929.458943,1305,1597.974324
3344.752945,2134,1614.805982
-1135.160418,340,1617.272981
-73.679862,144,1618.355478
92.892238,183,1619.743631
3140.500823,1758,1632.688058
-107.781869,1210,1641.568234
1974.954754,2141,1657.249672
1885.320014,1883,1670.971907
1527.978213,1494,1681.88711
3059.289242,4680,1715.810564
265.348472,1488,1726.544227
-7398.911441,5773,1770.063037
-1185.197587,3152,1793.000987
-2458.264793,4835,1828.857083
470.703547,821,1835.067048
2089.848135,1386,1845.590156
480.176379,1168,1854.421254
1130.788173,2104,1870.296773
-2533.930135,5439,1911.079621
5841.542185,3282,1935.671909
3109.211,2857,1957.024844
-2115.828635,6811,2008.465206
6395.306698,4150,2039.630526
3606.444128,3515,2066.14796
-9314.556798,8609,2130.485223
2046.377907,1201,2139.560483
-3107.257378,8370,2202.382067
-6218.337974,8632,2266.876606
3949.15237,5349,2309.297415
3825.305604,3861,2337.81475
1317.105139,3056,2360.321585
6807.854597,4233,2391.540014
-7317.180763,7944,2449.942141
-803.038662,5908,2497.067475
-715.594242,856,2503.453713
-1242.424017,3393,2528.349031
-541.984339,3929,2557.353387
4360.223262,2705,2577.107667
-3129.258874,5209,2615.466701
3429.64298,2300,2632.381665
-2964.756773,3760,2660.27875
-138.651881,3933,2689.309538
1774.61563,2351,2707.126091
881.984976,2813,2727.863641
-3649.464473,6885,2778.002496
-2780.387597,8440,2840.604854
662.392416,4044,2870.391677
842.125076,1262,2879.569037
2468.246279,2286,2896.309458
-7150.178416,9222,2965.447339
-127.488311,2213,2981.935337
-3764.192579,11198,3065.031357
522.267532,4354,3097.810045
-12077.830435,14535,3206.7444
3237.480143,909,3213.48155
607.709247,1195,3225.234242
657.896147,939,3232.12963
-1509.045646,3182,3255.702789
1595.693167,2090,3271.187227
261.938369,1250,3280.579703
1536.205548,1332,3290.434537
-2692.669632,9723,3363.133288
-182.868482,2130,3379.206744
-443.661383,10506,3460.568078
695.210561,1565,3472.374177
994.01486,1666,3484.939007
-226.216942,6396,3532.98242
1946.421414,3952,3562.836141
2978.07658,2974,3585.255084
-2470.221428,5150,3624.045993
-5597.686059,6453,3672.049266
-5524.560511,10314,3751.501849
2187.818326,1770,3764.590663
-10442.351592,7139,3816.940066
740.029234,472,3820.445191
-1592.299358,6249,3866.31415
2975.840116,1994,3880.791678
5225.406639,3301,3905.395685
-3669.188444,7681,3976.891361
-366.365336,181,3978.193492
-6150.675004,8016,4041.427999
3092.919319,5755,4086.375565
-135.427659,918,4093.110268
5.955059,424,4096.28505
855.571815,851,4102.520719
756.899017,1144,4110.873966
628.184117,847,4117.126777
-10202.924502,9112,4185.51524
3932.081157,2991,4207.38256
-373.336808,6492,4255.089494
135.996181,1376,4265.335014
1505.949948,2766,4285.702429
454.494341,1471,4296.535162
5744.617284,6803,4346.906328
-11.308913,2229,4363.632159
5833.815073,3550,4390.455537
-1000.201544,920,4397.370622
6071.044848,4814,4432.712517
3246.539688,6862,4483.441738
1999.507375,4172,4514.133626
-1308.975585,313,4516.466984
3134.964537,6163,4561.669027
1552.659459,4009,4591.130054
989.282198,7524,4646.438535
-2580.509866,6852,4696.661296
