#{"t_start": 1772491901.4413373, "env_id": "None"}
r,l,t
-9472.235084,8110,93.191433
3763.568029,2298,110.029822
1710.606114,5668,151.950081
-734.223811,1177,160.564614
4924.866941,4874,196.602143
-1518.458065,144,197.669961
-36.775492,85,198.298235
71.13822,108,199.137542
639.817905,445,202.379261
-118.08263,175,203.567663
2026.616236,2014,218.587307
-513.192572,739,224.131879
671.444421,1229,233.284678
220.784611,1194,242.525429
331.252999,790,248.430283
416.438167,1911,262.625959
-240.332832,1416,273.170986
1775.644077,2425,291.275244
-3041.180022,2350,308.834371
528.688725,2056,324.268356
-610.659948,2018,339.123037
963.57106,1934,353.51659
255.34202,918,360.35114
565.109708,926,368.225497
1229.411845,2956,390.151517
-641.809826,212,391.736392
4635.582434,4842,427.663274
3256.863232,2693,447.350075
-152.838986,980,454.505618
2044.051892,1448,465.261536
1123.251426,1188,473.990161
-786.333171,116,474.844783
3852.020845,3100,497.751109
791.060404,1514,508.869808
3352.549481,2672,528.629558
-1736.447085,294,530.777709
251.408345,283,532.850675
5212.741384,3727,560.18277
-1934.430256,304,562.42142
-126.673294,84,563.059754
151.296018,150,564.200949
1509.439218,3852,592.374948
-544.671107,651,597.216874
1010.505922,777,602.994505
2074.218914,1320,612.643514
-780.122469,172,613.901727
697.566345,911,620.623744
321.884957,847,626.83268
6393.331454,3696,654.37421
2142.423173,2465,672.589521
-1511.55707,212,674.177375
4262.33713,2247,690.981815
4316.386711,3207,714.60177
-2122.547998,212,716.197804
440.211252,392,719.897538
2215.005303,6055,764.949437
-1061.508024,787,770.737771
764.475734,793,776.578019
-101.582226,276,778.593943
2298.825502,1753,791.52439
-163.883782,559,795.677516
3315.202064,4527,830.274686
-994.11223,903,836.97684
3517.536899,2082,852.461779
-858.922751,468,855.921479
388.060729,533,859.8198
940.90926,859,866.178856
4857.485389,3316,890.653349
-257.629628,1293,900.325533
2893.881613,1972,915.042972
230.619832,1601,926.913151
1694.672114,2720,947.18917
-720.473706,405,950.268969
2014.597309,1553,961.835254
5063.539275,3603,988.748869
-546.79962,1488,999.899013
85.283893,779,1005.815022
3843.690157,4455,1039.569892
-1479.018465,533,1043.634176
1033.128626,1387,1053.980184
1499.340429,1324,1063.611948
-604.160149,7470,1119.608892
-877.971094,6221,1165.572859
564.362686,2053,1180.707283
-354.255546,475,1184.18316
4071.685502,2875,1211.664201
