#{"t_start": 1772310837.0278995, "env_id": "None"}
r,l,t
952.146342,218,3.840985
68.295695,88,4.409661
164.206644,100,5.107168
385.962542,191,6.508122
257.715785,172,7.753438
541.986057,353,10.386558
304.183478,200,11.902023
933.18074,671,16.872061
2492.266711,1213,26.05443
523.611557,556,30.193999
132.358097,153,31.343822
2309.575599,1379,41.588239
305.185075,1500,52.737628
1186.995817,730,58.086457
220.45722,2596,77.262308
1374.787338,1022,84.859304
618.319055,712,90.118679
3268.641277,2655,109.651073
1078.497133,798,115.626965
878.446514,539,119.639141
112.796557,130,120.589935
557.685118,878,127.180175
991.327243,527,131.099881
1309.059487,737,136.709988
1078.994346,568,140.921449
908.812106,449,144.301138
1929.798263,1040,151.977662
933.939174,602,156.479223
60.667871,169,157.722455
1365.159539,1574,169.534441
132.82818,122,170.475221
326.880796,183,171.831093
244.172384,146,172.937508
-23.642673,16,173.07093
-19.846081,16,173.204866
-19.203695,16,173.340482
183.747713,108,174.180618
473.722108,776,180.048312
1162.793493,777,185.985264
-173.377778,22,186.146042
2326.066387,1512,197.610271
1063.096562,727,203.230979
1111.19423,979,210.718244
848.537308,1910,225.352397
854.645536,298,227.653089
992.232299,622,232.470671
1060.105533,924,239.553143
2208.12655,1845,253.340048
-1105.819284,1476,264.591312
-14.176484,171,265.831904
724.097842,570,270.020408
808.787766,1213,279.065899
974.205251,644,283.860777
850.697177,500,287.604286
784.938099,427,290.901064
918.242366,526,295.238654
831.145036,677,300.266899
1162.598078,746,305.956497
1114.250354,658,310.991052
150.895912,179,312.376194
626.507766,322,314.843786
451.572226,351,317.452069
362.588587,248,319.31421
577.382743,325,321.743169
201.430165,351,324.42515
604.22016,343,327.07409
120.224252,226,328.816272
178.588551,148,329.881171
178.007098,172,331.154528
375.365203,326,333.594875
1023.802394,548,337.67239
1271.50439,836,344.236195
827.15078,515,348.340535
1123.505585,632,353.221454
1267.368745,688,358.395069
715.887154,457,361.885115
110.644586,167,363.148696
219.331734,159,364.361621
82.525047,88,365.016333
233.626451,133,365.997645
1020.682438,484,369.590146
1273.099184,690,374.770704
-174.190933,126,375.728463
300.152029,169,376.967877
1057.56728,589,381.398066
70.259893,177,382.702994
484.87577,357,386.443915
636.399292,385,389.348921
-205.632199,16,389.486423
-15.435931,18,389.638683
1027.371026,518,393.64177
1397.772681,808,399.816696
415.128139,480,403.482612
-22.984839,417,406.530729
965.720491,548,410.661913
620.067291,465,414.152643
978.595924,779,419.983415
198.929584,420,423.134956
1192.268464,693,428.439263
1462.615603,859,434.876203
181.899776,603,439.39354
302.929746,379,442.210728
209.936503,229,443.937766
22.95471,173,445.235003
1032.804802,1032,452.943135
457.17412,274,454.987213
2041.722289,1057,462.903624
-10.706675,133,463.896065
332.568661,187,465.312182
957.548279,588,469.668109
-57.653676,126,470.607445
136.692312,173,471.929008
505.40157,278,474.052354
1474.311774,905,480.841326
705.279394,671,486.602987
-432.651547,15,486.711657
143.023553,999,494.418967
2493.604494,1313,504.520963
1354.177965,993,511.997966
1491.24631,848,518.353141
1994.503475,1913,532.716979
2233.43629,2202,549.513662
505.520575,1040,557.38639
1560.028174,2500,576.16402
2158.726971,2180,592.409121
1743.780003,1858,606.17092
1053.070726,1561,618.076375
2279.367336,1326,628.027691
2447.867495,1489,639.13573
