#{"t_start": 1772310837.2755246, "env_id": "None"}
r,l,t
959.244373,230,3.668707
248.739508,150,4.669208
652.789976,353,7.238531
717.706982,366,9.966674
94.300793,112,10.7917
253.26883,142,11.889322
390.102897,202,13.375991
383.166007,203,14.852299
148.706561,115,15.720708
2624.855907,1723,28.722517
-100.440481,116,29.5699
-2402.542048,2657,49.346517
27.244588,1347,59.290047
2910.740041,2187,75.429971
1773.315566,1298,85.035169
666.069359,1523,96.255258
-202.930727,1315,105.904467
1111.686016,1801,119.344788
642.058682,436,122.555237
242.718388,181,123.942603
605.658088,393,126.900389
1361.829526,651,131.758674
1453.217859,815,137.970331
637.743493,544,141.956294
1174.744819,593,146.369923
618.407892,515,150.147812
1594.028027,754,155.828602
130.050801,134,156.808749
2905.778048,1651,169.17941
-261.05327,108,170.015428
1274.302038,587,174.507113
857.380103,515,178.369262
1311.400764,718,183.769139
69.742385,22,184.083902
0.662501,25,184.276747
-6.132008,24,184.45738
54.279087,47,184.799833
2252.376276,2080,200.594237
919.501147,525,204.655138
-2799.466719,3417,230.861691
2328.838284,1097,239.29145
3569.799833,1846,253.085003
2928.599152,1538,264.80767
496.69908,630,269.411437
932.410937,637,274.115691
169.928243,246,275.952574
774.70388,527,279.91421
820.255495,533,283.889756
594.258215,381,286.725928
1211.308021,581,291.209026
184.116006,396,294.564785
505.944458,546,298.540016
1138.785816,602,303.125088
860.136068,513,307.093545
36.955766,177,308.448173
1487.96674,719,313.943938
320.693338,309,316.285833
285.27518,269,318.276367
268.272786,210,319.853277
874.361883,439,323.166747
1061.207221,539,327.352326
659.924564,663,332.25845
-60.176215,169,333.525967
381.767196,511,337.33236
1296.457594,849,343.988701
526.390466,510,348.005009
847.243473,457,351.569162
1328.960513,882,358.263505
352.130865,300,360.536898
1276.67148,607,365.135263
54.413584,183,366.497571
886.864513,390,369.399595
1412.076029,826,375.610229
243.620921,314,377.948975
236.232314,1078,387.075805
291.630888,348,389.74309
577.160743,426,393.015899
1202.083448,1255,402.617691
286.247572,480,406.150878
482.354749,356,408.824695
614.709915,389,411.78956
553.618849,399,414.763087
423.106119,299,417.0212
1220.721679,941,424.07239
440.661778,450,427.50378
-98.892274,83,428.147132
653.027958,1065,436.168253
1076.898953,1039,443.913053
2.947248,137,444.93787
876.977256,627,449.633384
1973.145399,1056,457.506836
375.864772,365,460.243368
1830.606265,991,467.65357
1286.428474,889,474.364273
47.937592,142,475.430878
96.123207,95,476.138647
121.65488,97,476.832882
637.956106,861,484.066549
559.688601,380,486.893694
3123.259497,1535,498.730235
1156.014547,1841,512.698669
-5.51694,201,514.197248
4510.237934,2169,530.476085
2897.410014,1562,542.33629
1969.578142,1165,551.303051
1617.70533,861,557.73795
2229.650475,2397,575.759824
2044.767987,2405,593.66675
740.547614,2538,612.667931
3141.602164,2186,629.133092
1710.598284,1182,637.950093
-384.346645,2640,657.82615
1458.760112,1068,665.749553
1755.57941,1852,679.828393
1340.139168,1884,693.725284
-127.759928,108,694.507744
162.642935,113,695.376398
195.080661,138,696.369321
615.118034,334,698.875222
347.562335,214,700.494967
-70.814241,1351,710.963357
2411.066631,1476,721.922626
4066.154366,2345,739.165969
-839.794766,2255,757.171001
-346.449826,1256,766.523193
-772.219125,1845,780.352773
1480.425142,968,787.583757
1963.726361,1235,796.782555
-2271.950397,2554,815.719054
5302.409864,3045,838.297271
3945.287125,2294,855.390117
2567.179572,1748,868.312619
2717.13282,1896,882.768868
113.271119,1742,895.854003
-810.502797,1943,910.328976
5426.619299,2808,931.14652
732.317,2754,951.969767
2910.268942,2042,967.391873
1764.67259,4280,999.340422
5624.476642,3097,1023.040546
2066.009754,1155,1031.647067
-1634.047476,2637,1051.368738
5865.999513,2982,1073.881885
2838.393855,1578,1085.765623
-1617.807231,2127,1101.901233
4100.952287,2087,1117.791611
-1576.533964,2712,1138.355666
4057.444143,3274,1174.43555
861.739448,1469,1185.470997
91.571866,1547,1197.180074
2792.023225,1416,1207.911401
1557.659301,2884,1229.58748
661.259225,527,1233.610478
798.290235,1873,1247.979584
225.369605,865,1255.16646
973.460308,1444,1266.217956
1688.497786,996,1273.700095
2126.233677,1317,1283.626693
2837.238318,2853,1305.18958
2449.324758,1676,1317.965158
362.476054,1914,1332.67272
3834.002437,2450,1351.579993
2758.384216,1591,1363.541034
1973.584074,2736,1395.658321
2809.094631,1421,1406.503858
3369.122581,1792,1420.096885
3393.557044,1762,1433.439568
2471.838962,1317,1443.329338
1358.525386,792,1449.659564
699.15234,1005,1457.330615
1730.669431,2229,1474.240166
361.76943,2013,1490.055071
2285.586787,1748,1503.387467
4211.887863,2592,1523.108717
4926.748481,2637,1542.798815
132.27743,1755,1556.174638
1953.958552,2043,1571.475961
53.102587,2012,1586.662299
3178.751333,1940,1601.445202
671.78748,1388,1611.862912
4028.692852,2388,1629.927339
2912.4732,1704,1642.973106
1065.714621,1417,1653.935443
895.904067,1232,1663.444073
1634.259462,1918,1678.180015
-798.278035,2292,1695.455089
427.592841,1263,1704.763936
-3680.552623,3435,1730.349136
453.995051,1742,1743.656015
-3001.223509,3000,1766.730486
706.039981,1936,1781.553812
2796.900203,1617,1793.866338
77.667712,1612,1806.096649
1144.567715,846,1812.478042
2514.556153,2794,1833.746056
2846.372281,2013,1849.244269
3935.610657,2741,1870.117532
1202.887541,2425,1889.49496
3785.146909,1991,1904.742075
-1034.578362,2454,1923.6573
3485.134584,1901,1937.938831
432.891363,2689,1959.184557
3901.991529,2399,1977.184992
2880.26654,1562,1988.913317
2103.732662,2420,2007.199099
1451.227107,1556,2019.132961
-2406.99173,2594,2038.915126
5530.179098,2968,2061.282068
3641.678585,2050,2076.604709
4377.208372,2331,2094.217337
5021.976387,2844,2115.634221
3131.124601,2069,2131.47801
1715.547238,2671,2151.8821
2513.97078,1666,2164.568907
952.570572,2750,2185.528212
3015.957677,2135,2201.809978
-672.608096,2933,2224.198998
230.243648,2459,2242.953175
-581.3446,1896,2257.477012
4834.424368,2409,2275.893034
4387.92109,2281,2293.368313
3135.941628,1860,2307.511394
2960.760431,1812,2321.494676
2628.877197,1367,2332.032642
1878.789496,1683,2344.98209
5289.01409,3116,2368.626493
-531.274024,2937,2390.807551
5517.502971,2709,2411.170157
4676.393242,2790,2432.144604
2073.284037,1868,2446.344571
-2152.384308,3726,2474.369151
2658.910671,2253,2491.575949
2223.209548,3452,2518.161702
2657.980475,1775,2531.768143
2209.784677,2064,2547.101707
4029.445723,2047,2562.449979
2918.66535,1785,2575.969266
2183.214436,2019,2591.168972
-1467.912357,2243,2607.918168
2224.672251,1506,2619.173445
591.316363,574,2623.547082
3084.571166,2013,2638.678127
-45.390852,2023,2653.769775
1444.957184,2160,2669.972839
1794.944534,1406,2680.509398
2861.172389,1473,2691.551369
3344.394072,2158,2707.718703
3307.868648,1715,2720.468009
1930.679241,2229,2737.177157
659.160101,1372,2747.613977
-2013.335785,3600,2774.613431
2259.555892,2303,2791.768854
-2081.655685,3113,2815.075592
3864.404179,3098,2838.448975
1786.99345,2487,2857.201563
2676.460717,1814,2871.160038
429.279636,2423,2889.665855
2014.873917,1765,2903.080987
1912.945907,1076,2911.202025
724.144794,513,2915.117116
2109.486085,2136,2931.133656
372.34084,2510,2950.320223
1808.518346,1022,2958.160445
2925.605757,2182,2974.951987
1602.984244,2251,2991.995967
881.913769,609,2996.636388
4805.207584,2697,3017.367646
1724.82711,2836,3039.23841
4058.772609,2075,3055.172255
2692.201642,2102,3071.244577
2547.591802,1507,3082.534747
4218.628557,3789,3110.926295
3867.005879,2039,3126.425197
3447.19757,1783,3139.787967
1777.562083,1909,3154.158198
1519.894363,1059,3162.083798
1995.286739,1155,3170.753016
1657.494982,713,3176.140849
119.918223,2173,3192.425723
3115.967166,1699,3205.625638
933.187409,1032,3213.442385
-382.612606,1893,3227.970765
2929.626235,2402,3246.364681
2237.98692,1939,3261.312324
1474.031043,765,3267.149237
1955.311746,1011,3274.858312
-765.66822,2602,3294.459597
934.787015,622,3299.24909
2334.755769,2125,3315.476512
2679.301557,1470,3326.529999
2934.307861,1540,3338.135729
1330.587377,828,3344.399003
2745.929232,1818,3357.97659
3546.73733,2002,3372.79917
2459.358107,1890,3386.906666
3532.438532,2630,3406.595528
1211.671616,2897,3428.040987
1325.913353,1809,3442.39039
977.156973,756,3448.179015
-10.159701,180,3449.565053
2964.673645,2153,3465.968233
697.506181,1087,3474.120772
2711.387649,1848,3488.055918
914.981672,1218,3497.186772
1168.291639,1026,3505.358567
378.028209,1173,3514.166449
1658.010618,1167,3522.863276
3056.182893,1478,3534.007231
1208.22192,1523,3545.701234
723.765874,1250,3555.157121
828.755782,1550,3566.739123
-79.782656,1345,3576.683019
83.837146,1514,3588.134892
1107.099418,1605,3600.176196
628.282095,383,3603.081746
1320.354953,662,3608.077121
1173.873791,1652,3620.628963
2742.558549,1660,3633.33853
1740.934265,2027,3648.818187
2560.572331,1350,3658.96515
-62.631379,1693,3671.460629
-401.240772,2368,3688.809492
2852.06045,2321,3706.14804
2771.384124,2182,3722.279158
4597.813265,2523,3741.262871
1162.415055,3072,3764.255113
2594.122375,3351,3789.374271
159.980228,2309,3806.656892
-734.104186,2541,3826.158086
532.342812,1816,3840.222675
3339.409356,2064,3856.038553
656.080084,2060,3871.912856
3000.471462,2052,3887.699097
3914.522799,1929,3911.938167
2438.794983,1631,3923.997159
2844.404021,1513,3935.261027
478.850729,1247,3944.840819
3481.268301,2299,3962.017899
3236.78433,1861,3976.029019
4137.098474,2265,3992.796589
-536.040906,2565,4012.488942
4274.836451,2767,4033.765688
598.321524,3232,4058.475557
3285.236911,1854,4072.212192
3929.650703,2426,4090.292798
-960.424764,2079,4105.71177
4470.847581,2357,4123.384765
2641.247117,2184,4139.967081
2700.276844,1438,4150.789635
841.383884,1849,4164.567238
3944.976909,2124,4180.53416
3045.278254,1565,4192.299053
3251.857759,2163,4209.000732
1777.136093,1887,4223.161052
1182.428841,1054,4230.97049
4831.200143,2457,4249.424495
953.50161,2497,4268.739007
2175.217928,2077,4284.248453
1788.600171,2408,4302.247586
1752.435145,1156,4310.834518
-592.172871,1955,4325.749493
1093.226669,1161,4334.776284
684.99354,1403,4345.566692
-906.77643,2407,4364.095524
2280.558649,1520,4375.796742
657.985469,1694,4388.839078
1302.882059,1334,4398.809928
512.647674,2499,4417.37546
-605.782447,2838,4438.612963
2302.627974,1653,4450.812693
393.075369,1890,4464.829446
3588.176771,1858,4478.888952
1486.307544,903,4485.646344
101.765869,1577,4497.386429
3460.866002,2324,4514.790951
2162.001203,1179,4523.646706
1134.091149,682,4528.956727
1934.708125,2049,4544.774302
4028.454856,2506,4563.650054
1992.457658,2194,4579.799038
589.165353,1469,4590.768364
2638.364361,1889,4604.831944
-178.353073,2226,4621.725492
1684.113297,2021,4637.114635
1499.585739,931,4644.071722
1528.075435,1153,4652.935468
1039.138631,1891,4667.525041
1473.956236,920,4674.563088
3251.068731,1820,4687.925571
1148.612183,787,4693.79269
690.275872,546,4697.845554
3279.719113,1712,4711.056404
2001.062933,2527,4729.992513
2109.146418,1141,4738.480299
750.666848,1322,4748.282193
1404.112944,810,4754.289222
