#{"t_start": 1772310836.943133, "env_id": "None"}
r,l,t
841.257879,181,3.685614
727.029815,408,6.527031
-4.919417,108,7.314147
231.968944,136,8.315974
79.346269,92,9.030887
50.848381,66,9.509022
410.097327,325,11.933795
410.01085,229,13.626271
440.106271,243,15.426606
577.540015,361,18.159992
-30.560627,68,18.665702
284.344843,136,19.705055
153.395175,116,20.569292
242.063278,257,22.516863
78.147207,74,23.086853
540.024753,395,26.06101
190.814691,178,27.376705
1164.773536,560,31.563197
627.207791,1164,40.231678
279.051699,1437,50.922069
1062.539637,617,55.455789
977.359543,1978,70.057055
326.636426,2551,88.893713
2755.724098,1854,102.490307
2543.855035,2737,122.850763
713.866554,259,124.835967
951.57538,503,128.619222
1184.161956,619,133.32507
1565.017935,777,139.160138
1159.503683,712,144.430813
863.038353,753,149.921429
2193.111089,1309,159.768543
1465.029202,874,166.323702
1492.493183,1323,176.342327
38.348472,202,177.840024
147.443006,117,178.715682
968.039006,722,184.289176
5.373543,23,184.479196
1467.730184,855,190.974591
1194.821584,1288,200.717211
450.769065,451,204.213395
2327.752865,1582,216.318726
2936.133164,2292,233.916844
1241.677075,1043,241.851413
643.083852,615,246.387379
988.923564,629,251.100202
789.814656,588,255.655898
3677.790251,1838,269.426521
661.378738,537,273.408711
601.625157,396,276.357484
230.352089,189,277.778944
565.728984,294,279.980785
795.850152,403,283.000403
1072.904166,546,287.058179
1146.957201,587,291.599882
-41.153041,208,293.520321
195.269935,670,298.409373
280.363053,256,300.419277
1566.393896,689,305.659803
390.123924,606,310.297714
424.383537,295,312.581166
513.322501,314,314.988181
531.772639,343,317.522866
326.026323,257,319.474108
423.94252,316,321.820878
576.524233,458,325.34088
237.774102,223,327.053724
335.144025,246,328.944885
178.515888,145,329.99476
252.42769,173,331.276685
493.184294,325,333.702993
34.519501,436,336.95179
1455.664753,718,342.49251
-104.55269,91,343.211153
671.305145,361,346.07014
10.010231,204,347.701204
479.368687,288,349.985764
870.419392,560,354.270267
1425.152754,811,360.411261
584.175876,644,365.290434
-83.292101,149,366.402537
142.545729,121,367.301067
1102.743061,669,372.275736
73.624876,172,373.531829
195.598821,165,374.817189
174.156479,129,375.79816
2106.970616,1115,384.150401
171.895576,414,388.327199
558.741939,377,391.212267
509.123352,394,394.251991
689.825896,407,397.382684
-161.169253,16,397.513079
-12.495444,19,397.659709
-13.820263,19,397.813726
-14.478436,19,397.965803
761.987645,395,400.937378
221.787526,428,404.192449
609.132062,387,407.029753
507.822591,337,409.547938
136.648512,187,411.001658
728.799087,466,414.482916
463.827452,318,416.874029
-72.209712,76,417.453586
1402.867186,672,422.476141
990.766953,681,427.633991
-149.972419,101,428.410729
1605.287945,892,435.123875
1246.828293,1021,442.738187
-203.835964,167,443.998471
1440.858879,832,450.228038
3912.687454,2358,467.849993
473.683779,1057,475.828119
-419.529362,40,476.114796
299.527627,271,478.142421
1220.415659,648,483.766362
519.23904,873,490.383245
-415.705727,14,490.498218
1699.079486,1224,499.919522
17.170288,1087,508.271213
1183.003893,1359,518.397591
2104.486175,1855,532.326709
2705.460676,1718,545.394082
500.348733,463,548.944546
966.205642,1059,556.981561
4299.476634,2510,575.818333
-967.24879,2276,592.814322
1367.665508,963,599.955323
4156.09602,2372,617.821685
1129.333801,1322,627.753191
4878.319573,2915,649.765074
3617.169769,2126,665.493217
2351.111747,1659,677.708247
-920.334736,1836,691.713039
584.934493,463,695.106826
288.965114,213,696.662396
657.89437,380,699.532733
266.003461,190,700.962215
2308.186233,1553,712.921187
-1221.311318,1839,726.526872
4255.78277,2159,743.669336
2223.437249,1133,752.114197
1437.039337,2318,769.442995
2653.408097,1351,779.509952
474.6524,824,785.653749
2382.579174,1233,794.902191
-3005.029996,3081,817.667602
2729.011719,1983,832.445714
2210.458405,1477,843.425666
159.824227,291,845.664286
3137.203934,1702,858.189908
739.721701,848,864.49324
