#{"t_start": 1772310837.2236636, "env_id": "None"}
r,l,t
588.482725,70,2.684599
164.230441,101,3.334196
50.62612,58,3.714156
350.76394,169,4.849576
46.007574,78,5.418314
1331.181341,539,9.407729
299.301771,261,11.348271
1375.28241,619,15.926608
-105.498411,102,16.704283
-3893.614148,3420,42.326741
1976.588678,1173,51.054896
83.826236,140,52.084592
649.414834,318,54.418408
692.547682,337,56.86532
916.736861,1018,64.405438
2431.883785,1165,73.063075
684.04061,628,77.63361
3103.567716,1825,91.143117
2083.276568,1673,103.414847
890.043319,751,108.977174
472.16322,596,113.449011
496.313916,421,116.586525
791.36444,545,120.633378
1839.027147,917,127.516598
1304.901694,784,133.462264
770.270224,632,138.202588
966.805269,527,142.067294
1088.816547,552,146.175525
1084.907981,551,150.222749
533.183093,647,155.094483
2265.289375,1198,164.075429
169.674754,643,168.873551
134.419041,136,169.897678
254.223939,153,171.066554
208.349195,127,172.000808
88.962807,126,172.986772
-35.094558,15,173.115802
244.825683,113,173.9924
1734.665256,982,181.383466
1044.280497,686,186.666223
2504.686821,1894,201.090475
484.548704,1111,209.600488
1552.711151,2032,225.190991
893.287156,298,227.48788
734.583021,666,232.626816
1392.894376,939,239.798625
1162.891236,1776,253.083342
2161.257765,1804,266.764665
-12.378435,365,269.417404
1105.949027,748,274.953729
103.702995,139,275.997197
193.945733,125,276.97228
621.203223,442,280.248574
1059.768008,555,284.380167
479.160281,340,286.93939
888.123632,510,290.866903
206.849809,307,293.563814
1374.109407,709,298.764772
1078.984194,631,303.571369
371.09241,325,306.102453
739.82907,383,309.028103
1189.31784,636,313.89854
377.100115,321,316.330385
351.373121,266,318.297693
305.714971,205,319.841349
813.909184,449,323.226017
719.957489,536,327.387419
750.001282,574,331.628931
188.172643,191,333.048639
179.819057,129,334.02093
981.986501,550,338.121213
501.256603,366,340.980606
91.686824,138,342.052934
1127.79401,537,346.319325
-143.72574,108,347.172426
587.516283,327,349.782947
1453.008944,796,355.819402
306.334802,304,358.12963
604.270139,330,360.641321
1007.659832,578,365.025237
37.989762,151,366.152391
146.835881,123,367.076353
874.49847,431,370.256578
881.984276,587,374.685318
-108.721768,112,375.525344
277.438228,169,376.764752
2289.83366,1426,388.547791
425.410631,523,392.555396
1550.172015,1316,402.639459
406.998965,487,406.233691
401.825637,357,408.903923
599.784155,388,411.872985
598.476835,392,414.784808
353.411999,301,417.058331
934.635314,591,421.485864
168.241425,757,427.197421
-164.876472,103,427.999379
1090.122809,593,432.489545
-235.577102,17,432.617758
2775.915799,2121,448.494709
1477.559898,873,454.997836
1016.737776,793,460.924692
1002.287444,692,466.075908
961.54499,628,470.774015
1163.683574,621,475.50526
-166.076113,195,476.924087
637.518748,848,484.052843
922.161086,846,490.505262
1988.874791,1110,499.034303
2196.870384,1320,509.141827
1652.650763,1196,518.062821
3413.013956,1964,532.81512
978.8847,2309,550.461243
1357.432574,854,556.891685
1069.019091,2519,575.794442
1585.334001,2172,591.988481
4715.8145,2618,611.531713
1810.305323,1471,622.655344
2023.161269,1238,631.95606
1577.535946,1094,640.126177
1555.349235,1069,648.12427
2408.899092,1314,658.061306
1511.087338,2173,674.131094
852.383128,1303,684.185138
1760.254168,1837,697.716275
-117.138757,153,698.868617
317.195754,175,700.199389
2907.947358,1389,710.950909
702.32986,520,714.817724
3130.328404,2044,729.896478
1552.750908,1540,742.452442
-1057.20307,2073,757.917388
1017.304502,1510,769.23845
1371.092366,1433,779.93295
219.67588,1151,788.524204
2663.076145,2414,806.352965
3424.392143,1820,819.887815
4867.155746,2773,840.500858
325.439539,315,842.894564
456.488252,341,845.506662
1131.621423,1739,858.325864
2787.676798,1578,870.080805
5165.549988,2959,892.428336
747.22326,634,897.213443
4036.104444,1955,911.798916
-3186.285612,3652,938.917582
2049.07918,1234,948.374757
3461.801117,1980,963.35339
771.159932,2508,982.017195
1842.140686,1087,990.127929
559.390301,397,993.081512
2462.553569,1421,1003.882612
-206.479311,166,1005.176526
143.846101,108,1006.018123
268.200045,156,1007.18337
165.738627,130,1008.18282
1181.185807,549,1012.398456
1468.79024,2512,1031.352425
3914.419537,2449,1049.631324
-2590.050077,3206,1073.855541
1068.454642,964,1081.139537
-128.63851,2945,1103.4059
1255.688301,1973,1118.464739
5802.945716,2850,1140.02833
2890.624166,1767,1164.815689
1249.719245,1031,1172.557628
1584.90048,1210,1181.611592
1527.603684,1216,1190.777639
2300.919794,1463,1201.926361
1853.647182,1103,1210.212431
-41.763679,2878,1231.894385
1024.300262,868,1238.531338
528.429844,411,1241.696924
2420.740399,1496,1253.716455
2632.95262,1627,1266.184913
1747.121543,1025,1273.881249
2209.885245,1401,1284.457962
3049.919276,1948,1299.204287
4842.103385,3344,1324.631358
2919.439311,1851,1338.882751
1053.066007,584,1343.377894
2952.957012,2517,1362.541077
330.660664,2391,1392.066223
2056.841088,1057,1399.999446
1371.263698,928,1407.161327
164.814307,2619,1427.020154
2711.501188,1522,1438.460619
1214.467975,746,1444.50152
1398.689623,707,1449.801859
-776.583476,1816,1463.608975
-157.983099,1462,1474.717974
3350.608179,2259,1492.432444
1042.612892,1732,1505.577821
2953.830407,1989,1520.711727
1371.267752,1670,1533.188701
594.557381,1527,1544.719167
3291.117281,1873,1558.890616
1595.360236,920,1565.804005
3216.165933,2384,1583.768352
3449.270982,2069,1599.5039
3311.543803,1985,1614.43013
75.395366,2385,1632.507827
2049.068482,2536,1652.04281
3582.309499,1844,1666.254674
3844.89491,2164,1682.736597
1340.806116,1121,1691.281774
2219.661133,1322,1701.036077
1957.248578,1350,1711.063845
3417.139771,1871,1725.008398
2010.85127,1683,1737.746408
2504.400712,3149,1761.922815
2065.681182,1532,1773.691315
2600.077862,1623,1786.087784
1997.073359,1114,1794.550904
2869.609088,1588,1806.63535
3538.196232,2334,1824.22788
2901.682273,1860,1838.559833
-942.427954,3676,1866.659973
3117.478165,2297,1885.087055
3050.015314,1854,1899.201452
1393.517511,1907,1913.762771
2169.924781,1161,1922.842313
2205.594027,1652,1935.366891
488.381392,1915,1950.740702
-1208.039636,2614,1970.273642
-487.699133,1880,1984.416392
2444.562523,2766,2005.287508
2508.932161,2869,2027.237024
3363.66745,2391,2045.412422
4135.580629,2134,2061.461849
364.995259,467,2064.894644
4244.865987,1960,2079.679628
2678.890118,2048,2095.135876
1093.587992,2822,2116.450913
1036.311235,2861,2138.30094
2924.872681,1789,2151.933903
2524.594694,1732,2165.125083
2445.404546,2163,2181.580894
4569.846314,2631,2201.662393
-596.136658,2765,2222.786877
3845.611197,2110,2238.86735
2659.284404,1988,2254.075447
5662.497505,2924,2276.45892
817.918369,528,2280.464271
5477.827211,2803,2301.887767
3120.808199,2162,2318.509302
1123.929344,2220,2335.604628
3491.11951,2896,2357.599739
1037.761784,1847,2371.760323
1299.460226,3049,2394.74538
4015.478226,2306,2412.041126
3324.887306,2722,2432.524309
1157.189473,739,2438.206097
3372.63666,2644,2458.133873
1355.2474,2639,2477.994256
-114.560124,2330,2495.855394
-1341.282337,2845,2517.76298
-27.475898,1674,2530.599782
4445.900243,2755,2551.15098
1730.656715,2090,2566.869858
788.641073,2822,2588.14923
2492.803662,1394,2598.506466
819.211451,2781,2619.352385
366.05879,555,2623.589512
2319.916267,2190,2640.057537
3479.648533,2271,2657.002185
925.315818,1548,2668.598771
998.415425,1472,2679.651928
1429.811125,1457,2690.564567
2937.139591,1739,2703.581186
2930.554183,2611,2723.0424
4138.166851,3111,2746.558366
2601.620792,1392,2757.065421
1052.036426,2607,2776.509599
912.972376,589,2780.888616
4412.011085,2566,2800.031925
2290.15241,1414,2810.669744
2745.378336,2106,2826.303149
173.722832,2055,2842.010784
-1681.677491,2397,2860.115587
276.053251,2470,2879.104779
147.654489,288,2881.329001
-139.481577,2565,2900.77161
1662.84888,1491,2912.097978
1055.267118,711,2917.522611
1256.877072,679,2922.645201
5050.816838,2687,2942.921245
1745.294572,2426,2961.545025
3039.578823,1944,2976.493801
1879.540558,2067,2992.125373
2649.846671,2146,3008.566077
1591.287415,1035,3016.55144
-1648.881284,2921,3039.0546
3541.488547,1791,3052.810838
3217.947832,2651,3073.045418
485.396931,1795,3086.482455
3881.183612,3691,3114.131928
-1133.042021,1758,3127.545782
969.262719,712,3132.923273
4160.882644,1913,3147.240009
-632.463335,1202,3156.326236
-52.635633,209,3157.857516
1210.964194,1529,3169.306282
1139.80054,1098,3177.58578
1700.071327,928,3184.52936
3993.717425,2153,3201.089091
584.429316,1926,3215.691006
1293.452434,927,3222.827949
3648.285616,2117,3239.051791
-1284.340061,2374,3257.373348
2126.697301,1167,3266.264452
1710.032028,1119,3274.795905
-466.821401,2359,3292.531271
1584.413885,951,3299.849989
1674.757847,1996,3315.076367
420.206062,1775,3328.451853
1432.903368,1531,3339.993622
3537.414138,2394,3357.921432
2185.831837,1021,3365.499606
2484.871085,1438,3376.089894
250.105825,233,3377.789799
3139.223479,1723,3390.762847
2724.591774,1547,3402.347056
2135.406148,1898,3416.484556
-195.892585,166,3417.722733
4692.333452,2085,3433.169815
1629.076718,1616,3446.133894
2385.595222,2239,3463.283485
786.753237,1614,3475.385645
10.372664,1475,3486.490937
1716.39818,1383,3496.905715
1845.665869,1063,3505.341133
2431.906792,1182,3514.21827
4399.456535,2317,3531.588077
880.367469,1948,3546.502147
781.175483,1199,3555.556604
2293.397772,1180,3564.368543
4114.283454,2047,3579.546536
2374.523197,1306,3589.407255
2778.64637,1544,3601.065791
439.217364,483,3604.685163
657.519693,1486,3616.02687
1591.710381,1450,3627.048892
2977.132186,1821,3640.967903
3544.95869,1881,3655.311486
2667.22333,2044,3670.37097
4218.431702,2406,3688.027133
3492.718357,2189,3704.281149
3360.201129,1784,3717.575669
1464.051739,1492,3728.720942
2143.299411,1703,3741.52763
1095.633555,2947,3763.567055
3791.638852,2063,3779.134868
1908.710162,2173,3795.32046
1293.272511,1772,3808.589456
3119.360106,2164,3825.212565
4353.385357,2160,3841.883594
-336.49722,1865,3856.225679
3689.890712,1958,3871.313826
79.837487,2569,3891.099856
1940.914461,1098,3899.681846
2094.911223,1451,3919.736806
2288.042401,1870,3933.630947
2162.053049,1267,3943.414395
665.990638,1602,3955.328862
2861.948688,1540,3966.883828
4399.753469,2419,3984.962483
571.486183,2122,4000.950407
2682.248424,1767,4014.547548
407.716208,2125,4030.869536
2007.446675,1290,4040.790362
2033.610733,1812,4054.61678
2125.819791,2002,4069.546953
141.960815,2015,4084.587606
2607.671829,1381,4094.852968
3912.448877,2487,4113.345578
1721.624904,2017,4128.621209
2055.575103,1369,4138.990264
2000.224111,1395,4149.455815
1348.734613,2129,4165.329242
3472.897902,2040,4180.673304
877.461009,1839,4194.556368
-634.293139,1773,4208.238855
2874.164351,1582,4220.160619
38.107111,1448,4230.891799
1661.922403,1624,4242.901026
2615.411846,1896,4257.547934
3785.174893,2039,4273.200987
3814.142623,2085,4288.805276
366.463835,326,4291.244238
3986.723312,3280,4315.638997
3003.967972,1744,4329.194284
4059.330837,2124,4345.524095
4208.236765,2241,4362.766462
1106.974313,1539,4374.630526
-327.628449,2693,4395.131911
2680.841372,1655,4407.441525
-301.587008,1457,4418.327816
810.201815,1947,4432.886225
183.778889,1373,4443.111586
3451.914748,2280,4459.998722
2670.21663,1463,4470.910618
-698.68262,1526,4482.413646
2748.577466,2214,4498.973946
2791.183708,2505,4517.685628
1107.415283,1015,4525.412503
2820.922974,1633,4538.016641
1835.321011,1994,4553.396881
3924.871667,2135,4569.185952
-1113.027347,2435,4587.228961
190.806355,1514,4598.587605
146.255324,243,4600.372948
3339.298218,1555,4611.909188
762.55133,1242,4621.440017
1480.97332,2051,4637.060551
2261.36113,1243,4646.427411
-1030.219998,1909,4661.114806
3185.254509,1889,4675.57699
1693.065439,989,4682.898075
1772.589464,863,4689.173334
1002.667081,688,4694.325348
2214.1495,1127,4702.87394
1129.810387,691,4708.194076
1751.688824,907,4715.216969
5110.230701,2606,4734.638336
339.792549,1181,4743.323856
172.00531,177,4744.648059
278.331211,173,4745.935435
165.878899,123,4746.872912
2991.016287,1334,4756.725262
