#{"t_start": 1772310836.8731241, "env_id": "None"}
r,l,t
1208.450422,315,4.625732
246.664894,180,5.919963
344.799317,187,7.271569
82.313162,83,7.880152
91.106531,96,8.61302
6.611874,39,8.90524
1155.434044,654,13.770946
344.331522,281,15.846281
583.923629,613,20.475817
-4.89711,93,21.197082
664.242819,331,23.706233
1582.174944,927,30.644034
413.555643,561,34.808614
103.49006,158,35.9832
0.18503,1867,49.863357
360.470625,443,53.148145
2439.128085,1338,63.02182
1676.576779,995,70.361336
2038.724922,969,77.502856
1293.372049,714,82.805457
182.22989,172,84.09707
-120.73527,4339,116.130376
1605.982242,722,121.467375
1444.009421,783,127.388227
813.143551,608,131.913028
1205.566911,1192,140.893062
703.291674,476,144.463523
1464.475442,840,150.615749
923.314045,766,156.379106
3194.261763,1757,169.524693
-467.048884,114,170.402705
1111.142437,586,174.884735
1251.197829,1265,184.549302
1732.146338,1218,193.711398
951.217583,788,199.710046
621.267374,474,203.410641
1005.082097,863,210.006929
695.217402,2221,227.04353
248.753048,163,228.316327
1885.142372,1036,236.229004
-1423.64394,2046,251.591284
2704.863657,1461,262.83333
-104.597649,138,263.853441
381.54494,291,265.966125
346.188531,579,270.220149
327.622833,716,275.524929
-139.29745,120,276.427532
759.701126,598,280.910525
-75.458261,415,283.998785
915.517906,489,287.667076
811.460624,429,290.965244
1019.405064,523,295.302383
522.855542,479,298.762992
1134.925683,579,303.190095
595.852151,401,306.285897
1595.183691,748,312.016309
314.602587,369,314.827033
633.686059,370,317.592988
261.03526,260,319.568757
792.290489,407,322.603527
495.830008,342,325.224321
392.284943,247,327.138786
220.280763,233,328.919545
331.183317,270,330.887419
619.522378,371,333.674606
638.323761,385,336.547286
1015.88461,513,340.469391
222.555363,245,342.366358
1000.459191,481,346.188297
49.707085,193,347.71537
426.514472,297,350.078135
690.934383,544,354.232295
-22.458054,129,355.226336
1090.993173,498,358.973685
305.503785,279,361.109265
695.663841,540,365.197221
-33.905742,125,366.113785
650.921461,347,368.718092
1020.398998,654,373.55213
-54.405259,122,374.522227
1509.846123,1007,382.059987
-187.609068,118,382.937034
461.843897,246,385.807983
744.537879,440,389.158043
283.185738,410,392.315619
588.554708,395,395.36783
1333.840169,662,400.43248
449.394697,450,403.861378
554.316587,391,406.716442
940.039205,562,410.957819
-363.334399,16,411.107758
543.896166,487,414.725417
537.705743,361,417.463957
496.935092,355,420.08824
413.295914,426,423.282893
951.275706,575,427.665081
-127.913945,102,428.452538
2082.743622,1015,436.108706
148.896249,292,438.244848
382.468425,282,440.37459
2475.711339,1750,453.449116
336.578645,493,457.164161
702.695545,528,461.092354
2261.406746,1273,470.580139
-188.797477,122,471.499022
286.171628,169,472.800111
1897.276081,1326,483.548118
-300.026981,15,483.657146
2027.649992,884,490.347976
-671.95251,14,490.453287
-18.447903,16,490.583303
-27.471753,16,490.704943
577.856984,267,492.761343
1824.076776,1034,500.729527
1176.943617,1115,509.25792
210.874877,393,512.152751
1331.708943,1041,519.980891
3562.73799,1772,533.27184
823.162026,1233,542.62115
666.024588,764,548.477852
3946.373737,1839,562.349693
1671.038636,1306,572.18079
3029.957988,1890,586.336215
2277.880425,1185,595.142679
1322.139919,1347,605.111902
372.884165,961,612.385037
1677.392257,1674,625.052451
2282.609036,3186,649.093491
967.66724,1674,661.506166
2985.767874,2353,678.837402
2852.158178,1925,693.487117
195.685707,120,694.360332
153.606217,118,695.23848
559.076805,363,697.926853
293.292418,208,699.49282
332.416312,207,701.063791
2988.495609,1547,712.959865
686.065949,489,716.612689
356.053481,1843,730.200725
2790.807958,1682,743.836363
-388.903231,1886,757.86488
2535.415725,1477,768.934829
7.246708,1456,779.810313
3203.456266,1864,793.752299
4390.383562,2550,812.588309
5388.091555,2594,831.8893
462.940963,401,834.857339
2303.030679,1207,843.879772
133.888697,277,845.986008
1247.951224,1765,859.013016
2584.001126,1768,872.197266
2998.894176,1653,884.752446
3667.979147,1830,898.478239
3822.797634,2620,917.980214
538.89606,377,920.794666
1799.74165,2491,939.307905
-2282.153583,2468,958.015345
3989.500355,2217,974.66819
1981.10529,2740,995.103846
-1815.718113,2580,1014.86051
2454.551773,2087,1030.565562
4689.836233,2645,1050.322375
283.346627,3161,1074.196331
6084.190908,3334,1099.423459
534.980465,849,1105.813469
5178.339698,2485,1124.810809
1815.442408,1016,1132.448022
3892.936201,2808,1165.106105
1525.313462,1074,1173.171701
1856.758725,1185,1182.037349
1223.123469,1185,1190.95835
1683.479195,1542,1202.715963
206.410896,2748,1223.392226
157.655259,334,1225.884169
1196.780805,623,1230.591619
1913.924063,2144,1246.984367
2549.936826,1493,1259.043072
2583.663759,1525,1270.618198
430.730719,1376,1280.996245
2009.336433,1385,1291.41922
-488.394737,1519,1302.927113
3271.469311,2025,1318.312922
1694.181094,1013,1326.076817
2894.716986,1572,1338.18107
1067.693326,662,1343.28156
427.667488,1601,1355.560143
-193.000246,1020,1363.23507
-3117.845662,3063,1397.787725
-2311.185185,2529,1417.087695
554.671188,425,1420.304925
1497.383493,724,1425.769851
403.312426,364,1428.562367
3025.219615,1426,1439.261521
2166.240892,1868,1453.725064
410.28839,685,1458.983011
3467.380366,2138,1475.772941
3081.146882,2163,1492.194832
2219.315074,1484,1503.489983
3052.96721,1543,1515.126227
3265.337575,2159,1531.45151
3932.13609,2199,1548.078079
3215.78717,1579,1559.940643
1852.511512,2754,1580.688279
3654.445543,2152,1596.90682
1971.994291,1575,1608.932452
2077.510009,1430,1619.663804
1810.140754,1122,1628.203512
1983.312442,1062,1636.29447
2228.625334,1294,1646.230088
1131.634676,926,1653.398263
1523.493825,1266,1663.176077
3179.557404,1645,1675.813262
1623.50433,2039,1691.267756
1802.813319,1331,1701.105928
1721.055378,1209,1710.080392
3110.660702,1541,1721.55495
-2338.650732,3490,1748.028353
744.305607,1149,1756.817389
-1098.675205,2048,1772.61135
1264.19336,2108,1788.79488
2798.110928,1418,1799.502948
4150.224798,2138,1815.682838
-691.402826,1670,1828.323757
3052.610012,1921,1843.143707
3433.754065,2487,1862.144922
4284.99019,2220,1879.132828
2274.202178,1411,1890.712378
3710.242867,2494,1909.728813
301.949379,223,1911.451132
4006.373356,2630,1931.695975
2126.503961,1765,1944.865251
2367.722171,2286,1963.067297
3301.016897,1993,1978.043245
210.545289,1505,1989.344134
4038.873981,3483,2015.841152
4617.974035,2528,2035.093705
1296.479824,2328,2052.667261
2191.559853,1875,2066.737145
511.464938,450,2070.070834
2919.944361,2851,2091.615847
54.595694,255,2093.535652
4717.244906,2976,2115.944146
2661.362536,2013,2131.348943
4675.431811,2327,2149.128696
2904.441209,2242,2166.205523
4485.638508,2756,2187.194546
2127.802756,1359,2197.533166
5607.928579,3361,2223.247043
3019.923096,2727,2244.041654
3717.788066,2551,2263.571165
3396.503965,2095,2279.573634
586.691576,633,2284.419294
1625.118955,969,2291.868436
3509.063507,2313,2309.495964
1833.564721,2634,2329.80391
3032.424734,2426,2348.492828
-66.72295,1528,2359.943309
5360.803263,3078,2383.32339
1530.303663,2591,2402.873452
4412.347895,2997,2425.402855
106.293942,184,2426.780551
2819.349527,1335,2436.863207
-39.640202,1938,2451.483445
911.886531,2060,2466.994574
439.961092,3069,2490.308405
67.940328,1757,2503.820902
3534.107761,1945,2518.817589
3325.531792,1770,2532.369269
3514.49654,1860,2546.190218
2615.388325,1450,2557.082547
1024.349281,1981,2572.028716
2629.027258,2295,2589.300518
1884.349877,1432,2599.958545
64.442601,1776,2613.336723
893.78961,534,2617.283669
3039.413511,2106,2633.149681
4279.347992,2176,2649.430187
-35.678089,2368,2667.147713
3506.484691,1751,2680.303895
