#{"t_start": 1772236628.8161528, "env_id": "None"}
r,l,t
-301.841219,5779,43.710153
-307.59952,5779,85.757686
-307.59952,5779,127.371629
-307.59952,5779,168.97981
-307.59952,5779,210.952881
-307.59952,5779,253.352683
-307.59952,5779,295.857815
-307.59952,5779,338.316111
-307.59952,5779,380.811269
-307.59952,5779,423.420941
-307.59952,5779,465.873765
-307.59952,5779,508.523614
-307.59952,5779,550.959201
-307.59952,5779,593.835057
-307.59952,5779,636.381848
-307.59952,5779,678.5081
-307.59952,5779,720.907828
-307.59952,5779,763.445903
-307.59952,5779,805.890769
-307.59952,5779,848.319532
-307.59952,5779,890.717082
-307.59952,5779,933.13975
-307.59952,5779,975.26805
-307.59952,5779,1017.846493
-307.59952,5779,1060.378053
-307.59952,5779,1102.89098
-307.59952,5779,1145.294606
-307.59952,5779,1186.671063
-307.59952,5779,1228.410839
-307.59952,5779,1270.420622
-307.59952,5779,1312.965478
-307.59952,5779,1355.901639
-307.59952,5779,1398.436882
-307.59952,5779,1441.131024
-307.59952,5779,1483.83643
-307.59952,5779,1526.36569
-307.59952,5779,1568.909154
-307.59952,5779,1611.691535
-307.59952,5779,1654.478472
-307.59952,5779,1697.320083
-307.59952,5779,1739.692322
-307.59952,5779,1782.194866
-307.59952,5779,1824.274667
-307.59952,5779,1866.710145
-307.59952,5779,1908.64418
-307.59952,5779,1950.698734
-307.59952,5779,1992.522293
-307.59952,5779,2034.787109
-307.59952,5779,2077.468893
-307.59952,5779,2119.871647
-307.59952,5779,2162.612028
-307.59952,5779,2205.439069
-307.59952,5779,2248.195651
-307.59952,5779,2290.955596
-307.59952,5779,2333.560638
-307.59952,5779,2376.186399
-307.59952,5779,2418.163251
-307.59952,5779,2460.814388
-307.59952,5779,2503.479964
-307.59952,5779,2546.270759
-307.59952,5779,2588.986454
-307.59952,5779,2631.682081
-307.59952,5779,2674.227524
-307.59952,5779,2716.832844
-307.59952,5779,2759.110715
-307.59952,5779,2801.183735
-307.59952,5779,2843.393982
-307.59952,5779,2886.228733
-307.59952,5779,2929.010739
-307.59952,5779,2971.714164
-307.59952,5779,3014.270658
-307.59952,5779,3056.609374
-307.59952,5779,3099.283997
-307.59952,5779,3141.930731
-307.59952,5779,3184.467971
-307.59952,5779,3227.168272
-307.59952,5779,3269.785767
-307.59952,5779,3312.368572
-307.59952,5779,3354.80566
-307.59952,5779,3397.410246
-307.59952,5779,3439.64181
-307.59952,5779,3482.112942
-307.59952,5779,3524.68606
-307.59952,5779,3567.357317
-307.59952,5779,3609.441268
-307.59952,5779,3651.420325
-307.59952,5779,3693.798
-307.59952,5779,3736.250732
-307.59952,5779,3778.894068
-307.59952,5779,3821.277452
-307.59952,5779,3863.672863
-307.59952,5779,3907.641426
-307.59952,5779,3948.846862
-307.59952,5779,3991.284835
-307.59952,5779,4033.845319
-307.59952,5779,4076.694745
-307.59952,5779,4119.51445
-307.59952,5779,4162.113291
-307.59952,5779,4204.064044
-307.59952,5779,4245.603437
-307.59952,5779,4287.052851
-307.59952,5779,4328.526569
-307.59952,5779,4370.280079
-307.59952,5779,4412.940107
-307.59952,5779,4455.600031
-307.59952,5779,4497.386571
-307.59952,5779,4538.595419
-307.59952,5779,4579.894334
